"Data Source","World Development Indicators",

"Last Updated Date","2018-01-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","104.792744","67.6571202","79.10688295","104.124335","91.29136314","82.21463826","82.29618513","65.82652547","35.61832904","4.222575103","61.52241939","16.16122192","3.13226774","3.029629525","6.036663295","5.797836151","",
"Afghanistan","AFG","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","44.11670925","66.91053448","96.60633083","172.4963823","201.6953774","194.2543138","189.7967718","190.0386467","147.3553211","125.620029","104.588705","123.2971761","152.4619223","170.2092703","179.3476898","185.0455137","",
"Angola","AGO","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","46.11178736","29.29901051","47.28315126","49.15910316","51.42181664","59.79847027","45.36235809","100.8116697","63.13653787","79.34368678","74.60249926","71.47226841","91.61014496","104.021389","103.336295","100","92.69302698","113.4517766","109.938552","125.6879508","126.489447","134.9585894","154.6353193","139.5271173","236.4413572","224.8196634","206.1180871","222.1880844","223.0029388","214.7876035","228.5466204","223.0964467","",
"Albania","ALB","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","118.7437954","132.2652949","170.6522145","217.4382603","224.7957535","257.4695899","325.5786314","360.3430818","317.0711322","404.8925167","448.0366919","458.6814949","554.6157725","591.4920447","533.2290729","556.6603641","",
"Andorra","AND","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","117.6798335","144.3635413","200.5384974","270.3621704","289.022571","292.8025409","257.665705","227.0970431","167.9158272","153.2142955","183.3241772","172.2491099","164.9198565","159.3634405","155.2933934","149.8840596","",
"Arab World","ARB","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","39.41775814","33.88865151","29.68713997","28.67778048","30.63375257","29.60022455","41.23059111","40.81111405","50.38326315","","","","","","","","","","","","100","98.44619538","88.93051959","112.8436828","119.6760152","120.9433027","133.3572098","129.0814921","128.6241666","107.6092347","115.8741528","128.381729","134.7291862","148.8456664","137.5668081","134.5253182","132.6684666","",
"Argentina","ARG","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","35.82605511","43.9368958","42.56895424","40.75161748","42.74810287","39.84330511","30.96837991","29.09111866","44.46027885","47.85065907","62.5261","48.89470726","47.88466258","50.81586942","56.72769261","73.01242107","77.92591594","92.05588386","101.3651952","97.23945998","100","106.1349753","106.254404","111.6876488","111.5726587","124.5933042","130.2692903","138.0010875","136.6048393","121.9611558","138.7093374","141.9039521","133.5901306","128.6749652","118.6798478","116.7196074","124.3660983","",
"Armenia","ARM","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","119.7050526","178.0729051","229.3414554","209.9353062","268.0539966","224.0403068","242.4001192","190.5787683","142.6789448","168.3899712","199.6829862","219.3260244","249.6706456","262.8672464","287.2098131","355.6565539","",
"American Samoa","ASM","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","95.89934906","121.5987433","119.7249346","105.4388904","89.71602429","63.71284429","45.28172424","41.92387815","62.85463803","37.92486528","33.41134607","46.58415033","42.77757448","41.49530182","44.39806068","44.99974113","",
"Antigua and Barbuda","ATG","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","86.57098172","83.14954948","96.25449117","118.4709963","167.3910665","135.2389103","97.22242793","88.27458807","72.54696602","64.27802332","72.15917348","81.39054351","106.8209209","156.6779264","115.393989","145.573063","",
"Australia","AUS","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","101.0880545","101.7933968","100.2554049","104.9607077","108.6348581","110.8923233","113.6509216","120.1464032","114.1681191","128.7302852","129.8834781","132.624004","140.9165106","149.4135084","153.711992","165.1456124","",
"Austria","AUT","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","106.4917127","112.8453039","118.0939227","129.4198895","132.4585635","138.2596685","146.8232044","146.961326","120.1657459","138.121547","146.1325967","145.9944751","148.3425414","151.3812155","152.0718232","149.8618785","",
"Azerbaijan","AZE","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","149.5153882","140.2829251","145.9411947","160.6234874","253.6731184","360.6592589","537.536517","571.0603615","600.4482969","595.7488465","572.9922253","533.8400816","537.4160084","519.1892515","500.4467376","496.9426578","",
"Burundi","BDI","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","18.62086237","29.02213403","32.49143407","27.70430266","33.78531936","37.2093093","39.12669508","32.73922398","38.91664269","27.42438032","33.99711077","40.68883669","50.98412593","41.95254676","58.48724824","47.99911749","29.52800169","65.53630712","62.6580581","82.91609655","100","96.40015505","73.98135032","84.55902631","93.23668264","87.9597732","77.95133774","72.28178821","60.0077063","72.5929187","88.788843","84.66686999","98.14191159","81.05045464","115.1121883","111.019774","98.23888469","",
"Belgium","BEL","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","102.8277635","110.9254499","110.9254499","119.4087404","123.5218509","129.4344473","135.9897172","133.4190231","118.5089974","128.5347044","133.6760925","132.6478149","135.6041131","138.3033419","140.1028278","144.7300771","",
"Benin","BEN","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","28.08580619","17.86057118","8.560490364","25.68821432","65.34214379","61.61923417","37.32714363","35.43925954","19.11523102","66.93628068","68.59490926","85.81654783","123.9102383","116.3583538","111.4253659","82.95734689","119.0799531","96.61493152","91.09537872","96.06060567","100","108.7742036","135.011493","132.3224447","125.8617228","118.1995563","136.3719773","176.2750527","171.214355","180.7905782","155.8785431","134.6983235","159.5048091","230.7819249","306.1374697","238.5054113","174.7485012","",
"Burkina Faso","BFA","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","56.68937295","55.63329844","41.37261686","37.93602936","46.54480477","42.17488038","47.03645477","67.53153545","54.70906004","34.04075979","52.19235138","39.30121286","34.17870007","37.75396912","41.49258957","89.38025346","78.96738946","86.22306294","125.1662876","111.9353848","100","120.1521005","136.5080015","137.1835396","203.1963961","215.9170014","248.8679508","232.7218955","218.7181947","294.6415592","386.7154507","446.3320375","411.3604483","491.1359038","551.1207299","543.8877919","561.912943","",
"Bangladesh","BGD","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","14.45517115","16.04577006","16.47122858","16.17390559","20.21603323","18.14873811","18.83641117","21.94137348","24.90639363","25.1743682","32.24453665","31.04887959","39.02738279","43.41149883","51.97431854","68.63555559","68.84976","78.78479423","81.15714754","85.29668691","100","96.43923317","98.29732382","111.4399884","130.699541","144.9457836","184.4184423","191.7112919","227.9556646","219.4651112","271.5510049","316.3116377","319.0551081","382.2226146","403.3938489","437.2656295","475.7667992","",
"Bulgaria","BGR","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","111.1597374","119.9124726","134.1356674","149.2341357","165.2078775","182.2757112","196.0612691","211.3785558","182.0568928","218.8183807","263.0196937","261.7067834","293.2166302","296.9365427","311.8161926","328.4463895","",
"Bahrain","BHR","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","95.32987057","103.2353934","107.1301554","102.9344909","109.8277886","106.6326995","111.1566637","115.7550966","103.9609398","107.5433795","118.8527773","124.9807758","142.8890649","135.2885196","125.4382653","118.0923853","",
"Bahamas, The","BHS","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","80.63065624","88.45197834","76.33921571","78.09059259","81.90478977","95.46485493","101.8059511","99.77267918","89.98862133","76.23084534","72.73416605","84.07786501","96.58692088","85.91102543","60.96016337","56.43372692","",
"Bosnia and Herzegovina","BIH","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.50213826","96.69904042","119.401393","145.4417173","180.3764259","226.8718266","263.8312261","287.3148121","247.3619428","276.1265174","292.2257017","267.6531591","301.8126375","315.5763206","297.6840865","318.5716098","",
"Belarus","BLR","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","105.2682395","115.5228465","131.1167868","158.2418858","153.3778197","166.0131319","174.843335","175.9878771","155.9779454","160.4092282","213.293643","236.2494065","195.0674959","202.8660103","207.3542128","206.9507316","",
"Belize","BLZ","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","84.62002275","149.7020114","169.5326232","155.1715015","147.9909827","166.7634991","159.4949615","159.1027092","139.9346795","154.2595109","162.9302431","172.3889745","178.5254024","171.9508515","175.7545194","132.7804377","",
"Bermuda","BMU","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","73.16531063","113.7523098","104.8041147","143.9078893","97.38018754","47.4794524","43.56295086","30.55705925","48.92714551","22.42096814","19.75405551","17.39700624","15.48281877","26.94360388","28.61439643","24.17183282","",
"Bolivia","BOL","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","51.08851837","50.48233201","45.48651946","43.8738163","39.2842619","35.70671692","49.8795633","44.97052634","48.33325952","64.89179831","74.57591631","74.21278866","73.10782916","74.89923351","89.32882248","88.63781864","83.3195945","86.25087804","89.78121187","89.06059374","100","109.1286828","109.4241768","125.3563692","133.3572357","155.5948873","182.2417678","184.1310659","212.9397747","193.6347487","216.6377816","225.6893414","271.760182","288.4657712","329.0810225","305.284662","278.6782929","",
"Brazil","BRA","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","31.50582441","38.79366798","35.90668299","42.29201191","50.53989824","51.71547152","44.5839578","51.74555206","59.61132293","61.79868826","57.60327765","56.83395794","64.97705389","72.90698477","74.5753573","72.15855752","74.08314568","80.84331515","82.89031072","88.93653603","100","109.4759541","118.8981838","137.5353671","163.7173982","179.1054598","185.4257989","195.6024018","190.7742643","170.2736416","185.8977934","191.5072593","191.0356366","196.7391668","192.6975629","208.4062982","215.5356645","",
"Barbados","BRB","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.78677562","94.69894391","87.88207392","84.80641831","89.31375356","114.1580813","110.0912891","88.06992424","72.4811418","77.37212258","73.0609832","88.61551268","75.58989727","78.93417968","88.2331085","96.87612219","",
"Brunei Darussalam","BRN","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","94.33187324","108.3622874","107.9299775","102.7160427","87.96545141","85.98040937","80.87886845","74.63921997","79.21834014","86.42563256","90.96243037","88.51025839","81.94960598","80.95595024","75.6668346","86.75829904","",
"Bhutan","BTN","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","97.03834979","103.774677","114.3525602","126.4287308","152.2709409","216.7802028","349.5869102","203.0664085","235.9539967","268.034225","241.0360508","214.3876745","231.3715442","254.2097341","278.2114832","283.7153464","",
"Botswana","BWA","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","22.95222363","19.55306549","27.78193179","38.8919773","46.91679109","58.33923318","61.97876413","85.2121223","73.64868739","75.09508553","62.65002721","67.26980107","63.73055293","64.76852193","66.12749115","72.4371612","89.04217787","96.97853954","71.08750315","95.54577452","100","95.45665979","94.90735398","107.3709089","124.7163393","151.0516884","136.7848825","139.7122235","142.5497603","107.0574134","132.0077136","150.522142","152.8292326","207.7117917","217.3168918","170.0914216","202.3603936","",
