Country Origin Name,Country Dest Name,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000],Include,L_Or,L_Des,,
Syrian Arab Republic,United Arab Emirates,41,1223,13354,24778,42573,TRUE,Arabic,Arabic,FALSE,FALSE
Syrian Arab Republic,Qatar,165,1443,4224,10395,7958,TRUE,Arabic,Arabic,FALSE,FALSE
Syrian Arab Republic,Oman,118,170,396,1148,1691,TRUE,Arabic,Arabic,FALSE,FALSE
Syrian Arab Republic,Switzerland,247,281,172,283,1090,TRUE,Arabic,German,TRUE,TRUE
Syrian Arab Republic,Afghanistan,0,3,0,15,1,FALSE,Arabic,Arabic,FALSE,FALSE
Syrian Arab Republic,Australia,218,455,3080,5170,6614,TRUE,Arabic,English,TRUE,TRUE
Syrian Arab Republic,Canada,162,2133,4189,7039,15586,TRUE,Arabic,English,TRUE,TRUE
Syrian Arab Republic,Germany,1084,3462,10142,8318,26114,TRUE,Arabic,German,TRUE,TRUE
Syrian Arab Republic,United Kingdom,421,96,5426,2294,5646,TRUE,Arabic,English,TRUE,TRUE
Syrian Arab Republic,United States,17521,19371,24145,40501,55753,TRUE,Arabic,English,TRUE,TRUE
Syrian Arab Republic,Iraq,5495,4690,4288,5214,1164,TRUE,Arabic,Arabic,FALSE,FALSE
Syrian Arab Republic,Jordan,1374,2254,7282,21903,34663,TRUE,Arabic,Arabic,FALSE,FALSE
Syrian Arab Republic,Kuwait,2105,32500,75353,107628,101634,TRUE,Arabic,Arabic,FALSE,FALSE
Syrian Arab Republic,Lebanon,173,270,286,6226,5325,TRUE,Arabic,Arabic,FALSE,FALSE
Syrian Arab Republic,Malaysia,0,12,37,118,179,FALSE,Arabic,Malay,TRUE,FALSE
Syrian Arab Republic,Russian Federation,0,0,0,0,676,FALSE,Arabic,Russian,TRUE,FALSE
Syrian Arab Republic,Saudi Arabia,1300,7324,37349,97307,105266,TRUE,Arabic,Arabic,FALSE,FALSE
Syrian Arab Republic,Sudan,172,165,211,78,94,FALSE,Arabic,Arabic,FALSE,FALSE
Syrian Arab Republic,Turkey,6044,5290,4017,5177,5418,TRUE,Arabic,Turkish,TRUE,TRUE
Syrian Arab Republic,France,3290,329,9568,12930,5550,TRUE,Arabic,French,TRUE,TRUE
Syrian Arab Republic,Japan,0,3,7,83,135,FALSE,Arabic,Japanese,TRUE,FALSE
Syrian Arab Republic,Singapore,16,7,17,42,314,FALSE,Arabic,English,TRUE,FALSE
India,United Arab Emirates,721,21584,235611,437179,751142,TRUE,Hindi,Arabic,TRUE,TRUE
India,Qatar,116,1696,16667,33750,52788,TRUE,Hindi,Arabic,TRUE,TRUE
India,Oman,21845,31427,73080,211955,312053,TRUE,Hindi,Arabic,TRUE,TRUE
India,Switzerland,570,671,396,1462,6419,TRUE,Hindi,German,TRUE,TRUE
India,Afghanistan,21958,26242,5639,3352,6904,TRUE,Hindi,Arabic,TRUE,TRUE
India,Australia,13527,18165,40170,59297,94110,TRUE,Hindi,English,TRUE,TRUE
India,Canada,8781,45737,84397,149951,313999,TRUE,Hindi,English,TRUE,TRUE
India,Germany,3379,7573,29642,21616,35486,TRUE,Hindi,German,TRUE,TRUE
India,United Kingdom,190722,336567,401255,429885,524796,TRUE,Hindi,English,TRUE,TRUE
India,United States,13910,69997,227684,494290,1041320,TRUE,Hindi,English,TRUE,TRUE
India,Iraq,1298,865,587,484,61,TRUE,Hindi,Arabic,TRUE,TRUE
India,Jordan,39,61,194,593,3475,TRUE,Hindi,Arabic,TRUE,TRUE
India,Kuwait,4082,21896,59060,106856,100904,TRUE,Hindi,Arabic,TRUE,TRUE
India,Lebanon,121,317,1127,20213,35326,TRUE,Hindi,Arabic,TRUE,TRUE
India,Malaysia,12196,150723,98724,32931,67701,TRUE,Hindi,Malay,TRUE,TRUE
India,Russian Federation,0,0,0,0,26,FALSE,Hindi,Russian,TRUE,FALSE
India,Saudi Arabia,12449,70109,357516,931457,1007649,TRUE,Hindi,Arabic,TRUE,TRUE
India,Sudan,1847,1762,2261,4465,5386,TRUE,Hindi,Arabic,TRUE,TRUE
India,Turkey,318,579,691,1251,567,TRUE,Hindi,Turkish,TRUE,TRUE
India,France,80752,8074,15718,23455,136233,TRUE,Hindi,French,TRUE,TRUE
India,Japan,47,768,1698,3220,7518,TRUE,Hindi,Japanese,TRUE,TRUE
India,Singapore,66510,50875,42266,43696,105187,TRUE,Hindi,English,TRUE,TRUE
Bangladesh,United Arab Emirates,59,1771,19327,35862,61616,TRUE,Bengali,Arabic,TRUE,TRUE
Bangladesh,Qatar,6,92,1428,10724,19135,TRUE,Bengali,Arabic,TRUE,TRUE
Bangladesh,Oman,7166,10309,23972,69525,102360,TRUE,Bengali,Arabic,TRUE,TRUE
Bangladesh,Switzerland,143,115,100,235,1025,TRUE,Bengali,German,TRUE,TRUE
Bangladesh,Afghanistan,44,617,28057,31302,41817,TRUE,Bengali,Arabic,TRUE,TRUE
Bangladesh,Australia,40,67,709,2237,8943,TRUE,Bengali,English,TRUE,TRUE
Bangladesh,Canada,228,3004,5898,2277,21945,TRUE,Bengali,English,TRUE,TRUE
Bangladesh,Germany,179,232,364,4103,14155,TRUE,Bengali,German,TRUE,TRUE
