Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Aruba	ABW	Exports of goods and services (current US$)	NE.EXP.GNFS.CD																																			1069832402	1120670391	1195530726	1264245810	1326256983	1377363128	1393586592	1353553073	1260441341	1275569832	1450173184	1597854749	1585854749	1729374302	1849972067	1593977654	1517698324	1829078212					
Afghanistan	AFG	Exports of goods and services (current US$)	NE.EXP.GNFS.CD	22222233.33	24444455.56	26666680	68888922.22	71111144.44	113333340	120000000	113333340	122222228.9	142222222.2	171111104.4	199999988.9	235555544.4	224444437.8	302222222.2	300000006.7	337777777.8	344444451.1	357777771.1																								1337189555	1996491933	1796873038	1719072441	1868166953	1754538352	1833579463	1836528323	1597480951	1095048850	1132970325	1264501728	1316836331	1345496130	1342632358
Angola	AGO	Exports of goods and services (current US$)	NE.EXP.GNFS.CD																										3342245989	3342245989	3342245989	3342245989	3342245989	3342245989	3029652726	3935278882	2845117215	3465045195		6226046804	5238521933	3655830000	5309756748	8182663642	6736808291	8534569104	9708755159	13797757758	24286253529	33346439693	44706926828	64243350291	41451123310	51451738027	68042576390	71908646943	69562207407	60851240666	34437292633	28629357105
Albania	ALB	Exports of goods and services (current US$)	NE.EXP.GNFS.CD																									335069933	319090900.3	327312512.5	333550012.5	348287487.5	418924987.5	312500000	82300000	81519209.68	189399541.5	225407481	302465325.4	371128296.1	229987998.6	293568702	540103549.6	648940336.6	748461645.6	869225487.8	1169843190	1608022160	1862113161	2242225040	3005295932	3259292016	3040048180	3337098456	3769483126	3565036059	3671617045	3732081775	3104918356	3437166961
Arab World	ARB	Exports of goods and services (current US$)	NE.EXP.GNFS.CD																																			1.62249E+11	1.85202E+11	2.1398E+11	2.207E+11	1.72067E+11	2.07757E+11	2.9044E+11	2.67753E+11	2.7885E+11	3.48554E+11	4.63147E+11	6.26123E+11	7.63983E+11	8.89508E+11	1.18791E+12	8.32725E+11	1.02425E+12	1.35931E+12	1.5366E+12	1.52114E+12	1.43995E+12	1.05094E+12	9.70651E+11
United Arab Emirates	ARE	Exports of goods and services (current US$)	NE.EXP.GNFS.CD																																										50787202178	54362695711	69538461538	93968686181	1.22071E+11	1.52434E+11	1.8669E+11	2.48808E+11	2.01959E+11	2.25275E+11	3.14834E+11	3.75798E+11	3.92571E+11	3.9957E+11	3.59401E+11	3.62069E+11
Argentina	ARG	Exports of goods and services (current US$)	NE.EXP.GNFS.CD			1147183934	1441753550	1424603255	1764705803	1904761830	1818181858	1714285705	2000000041	1769210603	2000000003	2500000047	4000000136	4999999840	3054054017	4695000304	5459999881	4999999950	4508960597	3895791555	5445263190	7663966256	9515669467	6003000152	10376666929	9054444307	8747619117	12029545361	10007559520	14643450361	14561091033	15095901878	16357317618	19385000000	24978750000	28381250000	30928250000	31137000000	27862250000	31223750000	31112750000	27736666041	33084461867	39266996606	46198180131	53550250227	65162321195	79762958392	65133480388	80208867996	97810932629	88655850854	80690471898	75841712305	64367776224	69687842989
Armenia	ARM	Exports of goods and services (current US$)	NE.EXP.GNFS.CD																															789960888.4	842829165.1	506749951.3	567247790.5	517226129.9	351337822.3	371135620.1	332378724	359865223.2	383089987.9	446833330.7	539539689.4	697610011.3	902544361.3	1063500422	1411787185	1491343148	1766288265	1754799336	1338222263	1928926124	2409446528	2927398423	3153950546	3316273474	3137295852	3495833404
American Samoa	ASM	Exports of goods and services (current US$)	NE.EXP.GNFS.CD																																											518000000	513000000	460000000	498000000	495000000	505000000	641000000	530000000	364000000	335000000	482000000	457000000	426000000	427000000	428000000
Antigua and Barbuda	ATG	Exports of goods and services (current US$)	NE.EXP.GNFS.CD																		31551851.85	46111111.11	75440740.74	74077777.78	91137037.04	93562962.96	94029629.63	129688888.9	151681481.5	205892592.6	226985185.2	265525925.9	290937037	345300000	369862963	407266666.7	439285185.2	436459259.3	401607407.4	402522222.2	443288888.9	465900000	472829629.6	466861925.9	445334074.1	427865296.3	462637925.9	533973111.1	545269370.4	548169814.8	581289333.3	625368666.7	561623518.5	523833888.9	537755740.7	543333333.3	545555555.6	590740740.7	602193555.6	608888888.9
Australia	AUS	Exports of goods and services (current US$)	NE.EXP.GNFS.CD	2413484153	2437003024	2772986897	2796505768	3549109643	3428155449	3525590772	3915332064	4016127226	4377869862	5354462986	5715085676	6663551402	9019859065	11680176861	13874095316	14185049792	15449644414	16123392736	19275247075	24616155989	26334610473	26231932031	24060832943	26236189096	27497123571	27321628428	29290629963	37674621653	45334256168	47071950750	52249430971	54226716911	54747048904	58015219647	65793733294	75814112291	83327594303	78237807773	71357312946	80650631162	83817752495	81500104646	88243447874	1.0424E+11	1.25269E+11	1.46423E+11	1.69724E+11	2.08368E+11	2.08703E+11	2.22103E+11	2.9385E+11	3.27174E+11	3.09446E+11	3.03843E+11	2.64829E+11	2.27285E+11
Austria	AUT	Exports of goods and services (current US$)	NE.EXP.GNFS.CD	1532657936	1682092117	1816199712	1961802212	2145721110	2375619902	2581325902	2744817978	3024212933	3646710000	4210936385	4828105023	5940800643	7945377117	10245142962	11254488267	12352078469	14409079261	18066572823	22832410396	26006990002	23441765250	22623842785	21981186839	22265892373	24230778532	31689309599	38996595559	44096573610	46607267811	59423125378	60116254331	64678674931	59900881226	65453950006	80827705746	81256732519	78792186267	83704902179	85477892606	85305371292	88024161074	96495416902	1.16231E+11	1.40682E+11	1.53016E+11	1.69935E+11	2.02834E+11	2.27297E+11	1.78503E+11	1.99022E+11	2.30272E+11	2.19196E+11	2.27795E+11	2.3241E+11	2.0002E+11	2.01711E+11
Azerbaijan	AZE	Exports of goods and services (current US$)	NE.EXP.GNFS.CD																															3885196372	4014478402	4302724069	2281805933	819242649.7	851664903.6	937639967.4	1150052949	1009435017	1281990008	2058501454	2335772791	2666957519	3056716758	4234983617	8336380897	13955015559	22517509964	32133276534	22870241354	28728665753	37214511840	36914842159	35841555131	32551319648	20059340230	17580998935
Burundi	BDI	Exports of goods and services (current US$)	NE.EXP.GNFS.CD	24499998	26250000	28000000	17500000	36750000	16452740.74	17828571.43	19257142.86	18861714.29	18371428.57	25945142.86	21329142.86	28961142.86	33526603.85	33674920.63	34839365.08	61551304.35	96342222.22	71443333.33	110822222.2	81022222.22	88603333.33	103470000	97956966.11	113561106	126803836.3	140881024.8	110260311.6	136282900.4	108560194	89130244.37	115775316.4	94756920.93	88062144.15	95016968.85	129318804.2	50580560.2	95688945.65	71499431.18	61217971.47	55005758.53	45410971.28	38676369.53	50072047.44	63635537.87	91643019.1	92713639.06	98430522.64	152972427.6	118346172.7	180728261	220340879.5	221281636.6	200759981.3	240320163.1	191747885	187667205.5
Belgium	BEL	Exports of goods and services (current US$)	NE.EXP.GNFS.CD	4407077778	4837690321	5381621193	5948215318	6782655019	7293106124	8144551114	8533948955	9590908968	11570905791	11944540944	12985250144	16339002108	22814673049	29485786558	30002169244	34351833333	39153138998	46094472268	57769727023	63237433163	56330370817	53236365972	52385436371	53412069813	53601962633	68397851544	83035290005	95924326385	1.03855E+11	1.25864E+11	1.2614E+11	1.37365E+11	1.2544E+11	1.4234E+11	1.72257E+11	1.70061E+11	1.62818E+11	1.65214E+11	1.66266E+11	1.70953E+11	1.68916E+11	1.82017E+11	2.18823E+11	2.60992E+11	2.84796E+11	3.10274E+11	3.65618E+11	4.13324E+11	3.35842E+11	3.69665E+11	4.30226E+11	4.09788E+11	4.25754E+11	4.38799E+11	3.67646E+11	3.87772E+11
Benin	BEN	Exports of goods and services (current US$)	NE.EXP.GNFS.CD	13852022.33	10801828.34	8317361.995	9703490.052	13861514.15	21069299.1	20739915.27	23474433.63	30461094.82	38939712.02	50633283.06	59595404.5	59023791.05	78995251.9	79408573.24	98337358.6	90731935.28	121349816.9	153492175.5	207784769.9	222261792	205681872	225297369.5	150766908.1	205805456.7	247338434.7	222807320.1	238541696.1	223654558.3	202741075.4	375946872.3	417201334.7	393976833.8	510965402.2	452687266.9	593804034.8	625667835.2	616436678.9	665156749.2	637161886.4	543136056.6	545401094.2	616653194.4	741396726.7	850866805.2	909438883.6	952781473.6	1348309543	1630172756	1445827632	1658062054	1670812970	2004986611	2577928913	3113780933	2339844737	2621906409
Burkina Faso	BFA	Exports of goods and services (current US$)	NE.EXP.GNFS.CD	16066015.59	19014523.36	20997594.42	21985472.4	11484234.6	19676614.67	21918946.48	22215438.64	28569274.04	27823662.44	25007057.45	26587940.94	37028538.94	42590357.72	62500051.52	69071585.05	80128193.55	90048551.04	110202801.8	144182091.5	172630524	164734458.7	143789772.7	126168367.9	160016224.5	154030085.9	183075141.1	269185266	287730467.4	228834247.8	340110196.1	327535416.5	198184577.9	208751601.5	269162042.4	336477102.2	273233009.4	264655013	359254830.5	284956447.4	250604488.1	260002714.7	294167103.5	366324656.1	548132371	532286217.9	673239521.3	714349651.2	834226578.9	1062830722	1726555039	2681411104	2849413870	3126121367	3209388874	2713912177	
