"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"China",797879827.8,12089088.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"United States",4191616.3,400299356.65,1676646.52,55748496.79,2934131.41,0,2095808.15,419161.63,1676646.52,2934131.41,0,419161.63,838323.26,2095808.15,0
"India",0,203151885.58,765982519.4,0,0,0,0,133214351.2,0,0,0,49955381.7,0,0,0
"Pakistan",0,195803892,0,0,0,0,0,0,0,0,0,164887488,0,0,0
"Philippines",0,106661477.65,0,5023303.5,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",0,76412830.9,0,4692702,0,0,0,0,0,12513872,0,0,0,0,0
"Germany",0,52614660,0,3006552,0,0,0,0,0,10522932,0,0,0,72908886,0
"Canada",820075.41,41293208.88,434157.57,964794.6,578876.76,19295.892,241198.65,96479.46,289438.38,13989521.7,0,675356.22,48239.73,530637.03,289438.38
"France",0,28062773.7,0,10073816.2,0,0,0,0,0,69797155.1,0,0,0,0,0
"Australia",0,36236299.7,0,747140.2,0,0,0,0,0,0,0,0,0,0,0
"Italy",0,17181192.8,0,5558621.2,0,0,0,0,0,7579938,0,0,0,0,0
"Bangladesh",0,35885716.2,0,0,0,0,0,196972708.92,0,0,0,0,0,0,0
"Egypt, Arab Rep.",0,62442460.5,0,0,165918537.9,0,0,0,0,5352210.9,0,0,0,0,0
"Thailand",0,15623119.68,0,0,0,1723138.2,0,0,0,0,0,0,0,0,0
"Netherlands",0,15367077,0,853726.5,0,0,0,0,0,3585651.3,0,0,0,0,0
"Nepal",0,16549810.35,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,23858390.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poland",0,10123359.1,0,273604.3,0,0,0,0,0,820812.9,0,0,0,0,0
"Turkey",0,16144876.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iraq",0,39386448.5,0,74271588.6,0,0,0,0,0,0,0,0,0,0,0
"Sri Langka",0,8785794.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0,8765446.8,0,39364824.72,0,0,0,0,0,4382723.4,0,0,0,0,0
"Brazil",0,11094765.5,0,6656859.3,0,0,0,0,221895310,0,0,0,0,0,0
"Sweden",0,10701994.8,0,746650.8,0,0,0,0,0,1368859.8,0,0,0,0,0
"Kenya",0,22679280.36,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cameroon",0,25879356.6,0,0,0,0,0,0,0,27241428,0,0,0,0,0
"Malaysia",10225236.06,27354691.34,0,0,0,18047104.67,0,0,0,0,0,0,0,0,0
"Russia",0,6951624.35,0,0,0,0,108318946.69,0,0,0,0,0,0,0,0
"Belgium",0,7616640,0,634720,0,0,0,0,0,9139968,0,0,0,0,0
"Israel",0,12582584,0,0,3700760,0,0,0,0,0,0,0,0,0,0
"Austria",0,6231637.7,0,341459.6,0,0,0,0,0,939013.9,0,0,0,7563330.14,0
"Romania",0,4420646.5,0,713007.5,0,0,0,0,0,1283413.5,0,0,0,0,0
"Myanmar",0,2741764.95,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madagascar",0,13189388.4,0,0,0,0,0,0,0,14654876,0,0,0,0,0
"Zimbabwe",0,15044294.72,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0,4421904,0,0,0,0,0,0,0,606928,0,0,0,0,0
"Sierra Leone",0,12842575.55,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",0,21477985.29,0,153176329.2,0,0,0,0,0,0,0,0,0,0,0
"Denmark",0,5649649.6,0,262774.4,0,0,0,0,0,525548.8,0,0,0,0,0
"Morocco",0,6558000.4,0,4684286,34663716.4,0,0,0,0,14521286.6,0,0,0,0,0
"Norway",0,6714720,0,149216,0,0,0,0,0,0,0,0,0,0,0
"Republic of Ireland",0,5955315.6,0,242086,0,0,0,0,0,726258,0,0,0,0,0
"Singapore",2175183.5,5164507.11,0,0,0,683629.1,0,0,0,0,0,0,0,0,0
"Tanzania",0,201795619.34,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Zealand",0,5859276.24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0,4213356,0,180572.4,0,0,0,0,0,601908,0,0,0,0,0
"Portugal",0,2103121.8,0,778934,0,0,0,0,7711446.6,1791548.2,0,0,0,0,0
