"","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"China",938222379.336,13201423.144,0,0,0,0,0,0,0,0,0,0,0,0,0
"United States",4183869.128,321006234.454,1951825.404,44312393.3332,2473235.918,87498,1657157.65,546494.3748,1325726.12,2355994.68,0,513314.204,662863.06,1657157.65,266470.5456
"India",0,166834757.942,633369071.1,0,0,0,0,110151142.8,0,0,0,41306678.55,0,0,0
"Pakistan",0,116584835.632,0,0,0,0,0,0,0,0,0,98503178.592,0,0,0
"Philippines",0,66305987.3266,0,3175770.654,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",68461.14,67087969.08268,313366.444,4114307.9968,57681.194,162.9,0,288425.8888,0,10791516.792,49765.2368,253099.662,0,0,56131.1856
"Germany",60443.328,57958699.33912,23387.32,3483960.3872,117193.44,12122.85,0,20404.7304,0,11612315.418,6780.9702,26009.676,0,80436296.752,87151.2432
"Canada",905222.69,33317852.01424,525388.07,840279.27,551357.19,26273.584,188016.05,131189.2216,225619.26,10924597.93,4647.2274,583995.146,37603.21,413635.31,275074.5288
"France",17569.2,25878145.73612,47556.456,9573769.5848,480970.656,21066.75,0,23315.3592,0,64510262.842,1535.6942,29323.044,0,0,17183.8296
"Australia",132712.272,25159401.51008,57947.58,533829.98,58134.838,47744.4,0,20342.7648,0,5528.652,906.8368,10859.67,0,0,15639.2712
"Italy",0,20104903.8,0,6504527.7,0,0,0,0,0,8869810.5,0,0,0,0,0
"Bangladesh",0,30110104.248,0,0,0,0,0,166224564.3656,0,0,0,0,0,0,0
"Egypt, Arab Rep.",0,34980792.188,0,0,93286293.06,0,0,0,0,3001454.496,0,0,0,0,0
"Thailand",0,18879756.64,0,0,0,2082326.1,0,0,0,0,0,0,0,0,0
"Netherlands",0,15463125,0,859062.5,0,0,0,0,0,3608062.5,0,0,0,0,0
"Nepal",0,14036479.661,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,18203581.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poland",0,14038625.1,0,379422.3,0,0,0,0,0,1138266.9,0,0,0,0,0
"Turkey",980.892,14249647.7364,528.632,751.7064,11624.38,0,0,91.936,0,299.55,0,686.7,0,0,9560.9976
"Iraq",0,14528795.064,0,27391907.4,5562.084,0,0,0,0,243.642,0,0,0,0,0
"Sri Langka",0,9507305.118,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0,9906554.984,0,45013740.6056,0,0,0,0,0,4880245.174,0,0,0,0,0
"Brazil",0,10693152.5,0,6415891.5,0,0,0,0,213863050,0,0,0,0,0,0
"Sweden",0,8704653.4,0,607301.4,0,0,0,0,0,1113385.9,0,0,0,0,0
"Kenya",0,10056439.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cameroon",0,9864108.4,0,0,0,0,0,0,0,10383272,0,0,0,0,0
"Malaysia",7769697.276,20794936.576,32081.412,12944.048,0,14691862.808,0,106672.9192,0,0,0,7253.226,0,0,0
"Russia",985.38,7915721.006,0,23293.08,0,0,123244612.97,0,0,0,0,0,0,0,6871.368
"Belgium",0,6971982,0,580998.5,0,0,0,0,0,8366378.4,0,0,0,0,0
