HDI Rank (2015),Country,1990,1995,2000,2005,2010,2015
169, Afghanistan,0.295,0.324,0.34,0.405,0.454,0.479
75, Albania,0.635,0.628,0.662,0.696,0.738,0.764
83, Algeria,0.577,0.6,0.644,0.686,0.724,0.745
32, Andorra,,,,,0.819,0.858
150, Angola,,,0.391,0.439,0.495,0.533
62, Antigua and Barbuda,,,,0.773,0.782,0.786
45, Argentina,0.705,0.731,0.771,0.782,0.816,0.827
84, Armenia,0.634,0.603,0.644,0.692,0.729,0.743
2, Australia,0.866,0.885,0.899,0.915,0.927,0.939
24, Austria,0.794,0.816,0.837,0.854,0.88,0.893
78, Azerbaijan,,0.609,0.642,0.682,0.741,0.759
58, Bahamas,,,0.779,0.788,0.788,0.792
47, Bahrain,0.745,0.775,0.794,0.81,0.812,0.824
139, Bangladesh,0.386,0.423,0.468,0.506,0.545,0.579
54, Barbados,0.714,0.729,0.75,0.766,0.78,0.795
52, Belarus,,0.655,0.681,0.723,0.787,0.796
22, Belgium,0.805,0.851,0.873,0.865,0.884,0.896
103, Belize,0.648,0.662,0.677,0.692,0.7,0.706
167, Benin,0.345,0.371,0.395,0.434,0.454,0.485
132, Bhutan,,,,,0.572,0.607
118, Bolivia (Plurinational State of),0.535,0.571,0.607,0.625,0.649,0.674
81, Bosnia and Herzegovina,,,,0.697,0.711,0.75
108, Botswana,0.585,0.58,0.56,0.61,0.678,0.698
79, Brazil,0.611,0.649,0.685,0.698,0.724,0.754
30, Brunei Darussalam,0.782,0.805,0.819,0.837,0.846,0.865
56, Bulgaria,0.7,0.702,0.713,0.75,0.775,0.794
185, Burkina Faso,,,,0.325,0.377,0.402
184, Burundi,0.27,0.266,0.268,0.29,0.385,0.404
122, Cabo Verde,,,0.562,0.596,0.632,0.648
143, Cambodia,0.357,0.379,0.412,0.483,0.533,0.563
153, Cameroon,0.444,0.436,0.437,0.456,0.486,0.518
10, Canada,0.849,0.86,0.867,0.891,0.903,0.92
188, Central African Republic,0.32,0.307,0.314,0.323,0.361,0.352
186, Chad,,,0.3,0.303,0.37,0.396
38, Chile,0.7,0.728,0.761,0.796,0.82,0.847
90, China,0.499,0.547,0.592,0.646,0.7,0.738
95, Colombia,0.592,0.626,0.653,0.669,0.7,0.727
160, Comoros,,,,0.451,0.479,0.498
135, Congo,0.521,0.493,0.487,0.507,0.558,0.592
176, Congo (Democratic Republic of the),0.356,0.331,0.331,0.364,0.398,0.435
