"Data Source","World Development Indicators",

"Last Updated Date","2018-01-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1005027932.96089","1141899441.34078","1224022346.36872","1321229050.27933","1392737430.1676","1458212290.50279","1324284916.20112","1316033519.55307","1347128491.62011","1432167597.76536","1527994413.40782","1816625698.32402","1888111731.84358","2005849162.01117","2091921787.7095","1906100558.65922","1846245810.05587","2233916201.11732","","","","","","",
"Afghanistan","AFG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","37777780","44444446.6666667","51111111.1111111","126666717.777778","144444451.111111","215555548.888889","259999993.333333","237777784.444444","208888900","211111117.777778","208888900","295555548.888889","288888877.777778","255555562.222222","320000000","337777777.777778","380000006.666667","437777795.555556","457777788.888889","","","","","","","","","","","","","","","","","","","","","","","","2695612252.62127","4324401127.67307","4605719092.37761","4861120343.09478","5228625785.02331","5743886682.20313","5612184211.71432","5269393819.49365","7162552542.92059","7924080689.13243","8038495177.94393","9974609899.39268","9177749283.93221","9377504680.44354","9544683716.18127","",
"Angola","AGO","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","3342245989.30481","3342245989.30481","3342245989.30481","3342245989.30481","3342245989.30481","3342245989.30481","3029652726.05627","4153905486.79424","2923603206.87224","3078876576.58247","","5222436511.79653","5291285622.8586","4714184659.2726","5703592943.6498","5735919711.52292","6697268361.90209","7082117702.19296","8801255389.96037","10634508160.026","15144224756.7953","16288813594.6974","26304726742.7232","43121503215.7679","41829336844.9051","35421230670.3502","43898357066.1321","45858657954.4335","49190381526.8193","53537927313.8804","37968763908.1572","28057219506.0196","",
"Albania","ALB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","372867136.182693","362610725.835082","336224987.5","335624987.5","408575012.5","483800000","487500000","314316659.722222","627952433.94529","764996711.818738","773426393.922004","836744255.238814","1061577473.06431","806850764.826176","937667487.430537","1099997512.67198","1382114188.10066","1583646804.95615","1966308371.87638","2590993958.27175","3245963304.00329","3872963233.31361","4363324818.50782","5862891872.97283","6717536051.18804","6004542099.70509","5792205618.05104","6700292383.17062","5860852653.70487","5999411367.79387","6243050762.61481","5071014156.78529","5436290838.0719","",
"Andorra","AND","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219997502337.746","234609099314.581","270063138354.055","346412336953.339","424323272381.679","503329587555.906","657063271710.587","848979894715.616","760668639453.728","855139812110.013","984415826185.301","1107721246824.91","1190374563887.2","1255519177673.74","1178729310130.93","1110357150163.16","",
"United Arab Emirates","ARE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42053369639.2104","47845064669.8434","57668073519.401","78428046289.9932","93862491490.8101","112930428863.172","166134240980.259","219714363512.594","187139823008.85","229100884955.752","286450374404.357","319770183798.502","332756705241.661","358938053097.345","343716814159.292","353764465622.873","",
"Argentina","ARG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","2294367226.53985","1441753153.10994","1424602863.7313","1176470539.39431","1428571371.44429","1212121237.48041","1428571474.83812","2000000041.3448","1495789482.224","2199999958.62685","2374999979.49003","3000000101.96424","4555555489.85516","3135135020.645","3030000057.09425","4159999872.70227","3319672098.15378","4383512570.58549","4989980079.95196","5800000170.81341","5497685333.13496","6068376037.18012","3762000095.03612","5546666806.78726","7015555449.2007","8417142923.96163","7839772666.04089","5042239480.95944","6546483925.69926","11531201153.6445","18606904906.1175","22049649549.5495","27299750000","26038000000","30148250000","37413750000","38667250000","32762500000","33070250000","27604000000","13065794410.0544","18772867664.5284","27736672323.6712","34423282341.7031","40480743015.8524","52567536062.3157","66316154417.0834","48268743529.5373","67937933972.3653","88839174034.695","78013690406.706","81240190816.9153","73691675720.0984","69277437463.7927","73587756603.1088","",
"Armenia","ARM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1045655213.47519","1243607801.03366","779530102.320233","729847869.303232","961391389.438389","913101534.060047","894135848.371362","955405596.960185","1000634305.05451","919089981.205606","966167152.382789","977647641.696393","1107060085.46263","1404513018.98854","1620291873.65264","2118458710.52897","2505910483.69341","3604342095.147","4741291122.57631","3718993413.68018","4196501101.93612","4802696584.08879","5139753188.43898","5360220562.33288","5461874861.45165","4418183191.56224","4510568833.94847","",
"American Samoa","ASM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","559000000","571000000","567000000","614000000","634000000","621000000","754000000","556000000","537000000","559000000","643000000","641000000","678000000","657000000","615000000","",
