"","Origin","Destination","Mandarin","English","Hindi","Spanish","Arabic","Malay","Russian","Bengali","Portuguese","French","Hausa","Punjabi","Japanese","German","Persian"
"1","Syrian Arab Republic","United Arab Emirates","0","0","0","0","95025.88","0","0","0","0","0","0","0","0","0","0"
"2","Syrian Arab Republic","Qatar","0","0","0","0","22510.008","0","0","0","0","0","0","0","0","0","0"
"3","Syrian Arab Republic","Oman","0","0","0","0","3683.496","0","0","0","0","0","0","0","0","0","0"
"4","Syrian Arab Republic","Switzerland","0","0","0","0","1623.8","0","0","0","0","0","0","0","0","0","0"
"5","Syrian Arab Republic","Australia","0","0","0","0","15743.96","0","0","0","0","0","0","0","0","0","0"
"6","Syrian Arab Republic","Canada","0","0","0","0","31671","0","0","0","0","0","0","0","0","0","0"
"7","Syrian Arab Republic","Germany","0","0","0","0","49456.256","0","0","0","0","0","0","0","0","0","0"
"8","Syrian Arab Republic","United Kingdom","0","0","0","0","11863.4","0","0","0","0","0","0","0","0","0","0"
"9","Syrian Arab Republic","United States","0","0","0","0","100770.728","0","0","0","0","0","0","0","0","0","0"
"10","Syrian Arab Republic","Iraq","0","0","0","0","-2152.984","0","0","0","0","0","0","0","0","0","0"
"11","Syrian Arab Republic","Jordan","0","0","0","0","75878.656","0","0","0","0","0","0","0","0","0","0"
"12","Syrian Arab Republic","Kuwait","0","0","0","0","260537.376","0","0","0","0","0","0","0","0","0","0"
"13","Syrian Arab Republic","Lebanon","0","0","0","0","14226.88","0","0","0","0","0","0","0","0","0","0"
"14","Syrian Arab Republic","Saudi Arabia","0","0","0","0","264997.904","0","0","0","0","0","0","0","0","0","0"
"15","Syrian Arab Republic","Turkey","0","0","0","0","3769.424","0","0","0","0","0","0","0","0","0","0"
"16","Syrian Arab Republic","France","0","0","0","0","18427.784","0","0","0","0","0","0","0","0","0","0"
"17","India","United Arab Emirates","0","222332.434","838302.62","0","0","0","0","145791.76","0","0","0","54671.91","0","0","0"
"18","India","Qatar","0","15972.4596","60224.028","0","0","0","0","10473.744","0","0","0","3927.654","0","0","0"
"19","India","Oman","0","90136.9184","339860.512","0","0","0","0","59106.176","0","0","0","22164.816","0","0","0"
"20","India","Switzerland","0","1451.1656","5471.608","0","0","0","0","951.584","0","0","0","356.844","0","0","0"
"21","India","Afghanistan","0","-3608.6868","-13606.524","0","0","0","0","-2366.352","0","0","0","-887.382","0","0","0"
"22","India","Australia","0","25240.8484","95170.412","0","0","0","0","16551.376","0","0","0","6206.766","0","0","0"
"23","India","Canada","0","84459.746","318454.78","0","0","0","0","55383.44","0","0","0","20768.79","0","0","0"
"24","India","Germany","0","10021.6656","37786.608","0","0","0","0","6571.584","0","0","0","2464.344","0","0","0"
"25","India","United Kingdom","0","120269.7716","453476.188","0","0","0","0","78865.424","0","0","0","29574.534","0","0","0"
"26","India","United States","0","287033.1332","1082256.076","0","0","0","0","188218.448","0","0","0","70581.918","0","0","0"
"27","India","Iraq","0","-198.25","-747.5","0","0","0","0","-130","0","0","0","-48.75","0","0","0"
"28","India","Jordan","0","829.0632","3125.976","0","0","0","0","543.648","0","0","0","203.868","0","0","0"
"29","India","Kuwait","0","34336.0216","129463.688","0","0","0","0","22515.424","0","0","0","8443.284","0","0","0"
"30","India","Lebanon","0","10207.2032","38486.176","0","0","0","0","6693.24800000001","0","0","0","2509.968","0","0","0"
"31","India","Malaysia","0","8177.5868","30833.524","0","0","0","0","5362.352","0","0","0","2010.882","0","0","0"
"32","India","Saudi Arabia","0","336382.5968","1268327.824","0","0","0","0","220578.752","0","0","0","82717.032","0","0","0"
"33","India","Sudan","0","1338.218","5045.74","0","0","0","0","877.52","0","0","0","329.07","0","0","0"
"34","India","Turkey","0","197.2984","743.912","0","0","0","0","129.376","0","0","0","48.516","0","0","0"
"35","India","France","0","18778.3376","70803.568","0","0","0","0","12313.664","0","0","0","4617.624","0","0","0"
"36","India","Japan","0","2020.9788","7620.084","0","0","0","0","1325.232","0","0","0","496.962","0","0","0"
"37","India","Singapore","0","14377.3096","54209.528","0","0","0","0","9427.744","0","0","0","3535.404","0","0","0"
"38","Bangladesh","United Arab Emirates","0","26908.38","0","0","0","0","0","147697.108","0","0","0","0","0","0","0"
"39","Bangladesh","Qatar","0","8170.02","0","0","0","0","0","44844.332","0","0","0","0","0","0","0"
"40","Bangladesh","Oman","0","43622.928","0","0","0","0","0","239441.4048","0","0","0","0","0","0","0"
"41","Bangladesh","Switzerland","0","329.544","0","0","0","0","0","1808.8304","0","0","0","0","0","0","0"
"42","Bangladesh","Afghanistan","0","20115.396","0","0","0","0","0","110411.1736","0","0","0","0","0","0","0"
"43","Bangladesh","Australia","0","3308.4","0","0","0","0","0","18159.44","0","0","0","0","0","0","0"
"44","Bangladesh","Canada","0","7350.48","0","0","0","0","0","40345.968","0","0","0","0","0","0","0"
"45","Bangladesh","Germany","0","5267.7","0","0","0","0","0","28913.82","0","0","0","0","0","0","0"
"46","Bangladesh","United Kingdom","0","73621.26","0","0","0","0","0","404098.916","0","0","0","0","0","0","0"
"47","Bangladesh","United States","0","34272.864","0","0","0","0","0","188119.9424","0","0","0","0","0","0","0"
"48","Bangladesh","Jordan","0","2327.544","0","0","0","0","0","12775.6304","0","0","0","0","0","0","0"
"49","Bangladesh","Kuwait","0","16016.544","0","0","0","0","0","87913.0304","0","0","0","0","0","0","0"
"50","Bangladesh","Lebanon","0","5305.104","0","0","0","0","0","29119.1264","0","0","0","0","0","0","0"
"51","Bangladesh","Malaysia","0","32016.348","0","0","0","0","0","175734.1768","0","0","0","0","0","0","0"
"52","Bangladesh","Saudi Arabia","0","180271.116","0","0","0","0","0","989488.1256","0","0","0","0","0","0","0"
"53","Bangladesh","France","0","4043.484","0","0","0","0","0","22194.2344","0","0","0","0","0","0","0"
"54","Bangladesh","Japan","0","3000.96","0","0","0","0","0","16471.936","0","0","0","0","0","0","0"
"55","Bangladesh","Singapore","0","7798.572","0","0","0","0","0","42805.4952","0","0","0","0","0","0","0"
"56","China","Switzerland","8087.904","122.544","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","China","Australia","226062.408","3425.188","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","China","Canada","444551.448","6735.628","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","China","Germany","107685.864","1631.604","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","China","United Kingdom","115363.38","1747.93","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","China","United States","1443905.364","21877.354","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","China","Jordan","10944.516","165.826","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","China","Malaysia","30601.164","463.654","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","China","Russia","1773.684","26.874","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","China","Turkey","1759.956","26.666","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","China","France","26838.504","406.644","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","China","Japan","424673.832","6434.452","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","China","Singapore","261198.96","3957.56","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","Pakistan","United Arab Emirates","0","787648.23","0","0","0","0","0","0","0","0","0","663282.72","0","0","0"
"70","Pakistan","Qatar","0","42983.13","0","0","0","0","0","0","0","0","0","36196.32","0","0","0"
"71","Pakistan","Oman","0","98518.686","0","0","0","0","0","0","0","0","0","82963.104","0","0","0"
"72","Pakistan","Switzerland","0","2178.882","0","0","0","0","0","0","0","0","0","1834.848","0","0","0"
"73","Pakistan","Afghanistan","0","-594.738000000003","0","0","0","0","0","0","0","0","0","-500.832000000002","0","0","0"
"74","Pakistan","Australia","0","14273.142","0","0","0","0","0","0","0","0","0","12019.488","0","0","0"
"75","Pakistan","Canada","0","92401.218","0","0","0","0","0","0","0","0","0","77811.552","0","0","0"
"76","Pakistan","Germany","0","48919.452","0","0","0","0","0","0","0","0","0","41195.328","0","0","0"
"77","Pakistan","United Kingdom","0","442310.652","0","0","0","0","0","0","0","0","0","372472.128","0","0","0"
"78","Pakistan","United States","0","292500.972","0","0","0","0","0","0","0","0","0","246316.608","0","0","0"
"79","Pakistan","Jordan","0","5176.74","0","0","0","0","0","0","0","0","0","4359.36","0","0","0"
"80","Pakistan","Kuwait","0","97518.678","0","0","0","0","0","0","0","0","0","82120.992","0","0","0"
"81","Pakistan","Lebanon","0","27553.002","0","0","0","0","0","0","0","0","0","23202.528","0","0","0"
"82","Pakistan","Malaysia","0","5890.38","0","0","0","0","0","0","0","0","0","4960.32","0","0","0"
"83","Pakistan","Saudi Arabia","0","996030.312","0","0","0","0","0","0","0","0","0","838762.368","0","0","0"
"84","Pakistan","Turkey","0","1302.108","0","0","0","0","0","0","0","0","0","1096.512","0","0","0"
"85","Pakistan","France","0","46371.894","0","0","0","0","0","0","0","0","0","39050.016","0","0","0"
"86","Pakistan","Japan","0","8863.044","0","0","0","0","0","0","0","0","0","7463.616","0","0","0"
"87","Pakistan","Singapore","0","13316.454","0","0","0","0","0","0","0","0","0","11213.856","0","0","0"
"88","Indonesia","United Arab Emirates","0","0","0","0","0","10926.3","0","0","0","0","0","0","0","0","0"
"89","Indonesia","Qatar","0","0","0","0","0","21787.8","0","0","0","0","0","0","0","0","0"
"90","Indonesia","Switzerland","0","0","0","0","0","1441.05","0","0","0","0","0","0","0","0","0"
"91","Indonesia","Australia","0","0","0","0","0","79418.1","0","0","0","0","0","0","0","0","0"
"92","Indonesia","Canada","0","0","0","0","0","19161.9","0","0","0","0","0","0","0","0","0"
"93","Indonesia","Germany","0","0","0","0","0","19352.85","0","0","0","0","0","0","0","0","0"
"94","Indonesia","United Kingdom","0","0","0","0","0","-1275.9","0","0","0","0","0","0","0","0","0"
"95","Indonesia","United States","0","0","0","0","0","149673.3","0","0","0","0","0","0","0","0","0"
"96","Indonesia","Jordan","0","0","0","0","0","13960.95","0","0","0","0","0","0","0","0","0"
"97","Indonesia","Kuwait","0","0","0","0","0","42742.2","0","0","0","0","0","0","0","0","0"
"98","Indonesia","Lebanon","0","0","0","0","0","14466.6","0","0","0","0","0","0","0","0","0"
"99","Indonesia","Malaysia","0","0","0","0","0","1488352.65","0","0","0","0","0","0","0","0","0"
"100","Indonesia","Saudi Arabia","0","0","0","0","0","588168.15","0","0","0","0","0","0","0","0","0"
"101","Indonesia","France","0","0","0","0","0","31325.85","0","0","0","0","0","0","0","0","0"
"102","Indonesia","Japan","0","0","0","0","0","28204.5","0","0","0","0","0","0","0","0","0"
"103","Indonesia","Singapore","0","0","0","0","0","87524.25","0","0","0","0","0","0","0","0","0"
"104","Philippines","United Arab Emirates","0","12028.7258","0","566.502","0","0","0","0","0","0","0","0","0","0","0"
"105","Philippines","Qatar","0","24102.0416","0","1135.104","0","0","0","0","0","0","0","0","0","0","0"
"106","Philippines","Oman","0","18319.9926","0","862.794","0","0","0","0","0","0","0","0","0","0","0"
"107","Philippines","Switzerland","0","6051.3726","0","284.994","0","0","0","0","0","0","0","0","0","0","0"
"108","Philippines","Australia","0","163763.5272","0","7712.568","0","0","0","0","0","0","0","0","0","0","0"
"109","Philippines","Canada","0","321194.7648","0","15126.912","0","0","0","0","0","0","0","0","0","0","0"
"110","Philippines","Germany","0","78628.732","0","3703.08","0","0","0","0","0","0","0","0","0","0","0"
"111","Philippines","United Kingdom","0","15176.2702","0","714.738","0","0","0","0","0","0","0","0","0","0","0"
"112","Philippines","United States","0","2282598.7912","0","107500.728","0","0","0","0","0","0","0","0","0","0","0"
"113","Philippines","Jordan","0","5240.599","0","246.81","0","0","0","0","0","0","0","0","0","0","0"
"114","Philippines","Kuwait","0","47082.3262","0","2217.378","0","0","0","0","0","0","0","0","0","0","0"
"115","Philippines","Lebanon","0","15956.0856","0","751.464","0","0","0","0","0","0","0","0","0","0","0"
"116","Philippines","Malaysia","0","309088.1976","0","14556.744","0","0","0","0","0","0","0","0","0","0","0"
"117","Philippines","Russia","0","7544.628","0","355.32","0","0","0","0","0","0","0","0","0","0","0"
"118","Philippines","Saudi Arabia","0","644658.1414","0","30360.666","0","0","0","0","0","0","0","0","0","0","0"
"119","Philippines","France","0","6838.9594","0","322.086","0","0","0","0","0","0","0","0","0","0","0"
"120","Philippines","Japan","0","166260.0576","0","7830.144","0","0","0","0","0","0","0","0","0","0","0"
"121","Philippines","Singapore","0","19286.1942","0","908.298","0","0","0","0","0","0","0","0","0","0","0"
"122","Sudan","United Arab Emirates","0","0","0","0","72426.76","0","0","0","0","0","0","0","0","0","0"
"123","Sudan","Qatar","0","0","0","0","13971.44","0","0","0","0","0","0","0","0","0","0"
"124","Sudan","Oman","0","0","0","0","16659.02","0","0","0","0","0","0","0","0","0","0"
"125","Sudan","Australia","0","0","0","0","6817.3","0","0","0","0","0","0","0","0","0","0"
"126","Sudan","Canada","0","0","0","0","9228.24","0","0","0","0","0","0","0","0","0","0"
"127","Sudan","United Kingdom","0","0","0","0","-1001.7","0","0","0","0","0","0","0","0","0","0"
"128","Sudan","United States","0","0","0","0","27811.42","0","0","0","0","0","0","0","0","0","0"
"129","Sudan","Iraq","0","0","0","0","2708.02","0","0","0","0","0","0","0","0","0","0"
"130","Sudan","Jordan","0","0","0","0","4100.88","0","0","0","0","0","0","0","0","0","0"
"131","Sudan","Kuwait","0","0","0","0","6363.28","0","0","0","0","0","0","0","0","0","0"
"132","Sudan","Lebanon","0","0","0","0","9209.9","0","0","0","0","0","0","0","0","0","0"
"133","Sudan","Saudi Arabia","0","0","0","0","380951.34","0","0","0","0","0","0","0","0","0","0"
"134","Spain","Switzerland","0","44790.68","0","201150.872","0","0","0","0","0","22395.34","0","0","0","0","0"
"135","Spain","Australia","0","5905.284","0","26520.0936","0","0","0","0","0","2952.642","0","0","0","0","0"
"136","Spain","Canada","0","4518.14","0","20290.556","0","0","0","0","0","2259.07","0","0","0","0","0"
"137","Spain","Germany","0","41321.06","0","185569.124","0","0","0","0","0","20660.53","0","0","0","0","0"
"138","Spain","United Kingdom","0","22802.692","0","102404.8168","0","0","0","0","0","11401.346","0","0","0","0","0"
"139","Spain","United States","0","52644.812","0","236423.0648","0","0","0","0","0","26322.406","0","0","0","0","0"
"140","Spain","Turkey","0","379.588","0","1704.6952","0","0","0","0","0","189.794","0","0","0","0","0"
"141","Spain","France","0","51015.36","0","229105.344","0","0","0","0","0","25507.68","0","0","0","0","0"
"142","Spain","Japan","0","814.132","0","3656.1928","0","0","0","0","0","407.066","0","0","0","0","0"
"143","Sri Langka","United Arab Emirates","0","3478.564","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","Sri Langka","Qatar","0","7192.504","0","0","0","0","0","0","0","0","0","0","0","0","0"
"145","Sri Langka","Oman","0","31859.702","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","Sri Langka","Switzerland","0","31801.516","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147","Sri Langka","Afghanistan","0","2709.832","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","Sri Langka","Australia","0","59088.494","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","Sri Langka","Canada","0","78850.302","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","Sri Langka","Germany","0","59627.678","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151","Sri Langka","United Kingdom","0","13112.718","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","Sri Langka","United States","0","29299.33","0","0","0","0","0","0","0","0","0","0","0","0","0"
"153","Sri Langka","Jordan","0","13636.862","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","Sri Langka","Kuwait","0","13615.806","0","0","0","0","0","0","0","0","0","0","0","0","0"
"155","Sri Langka","Lebanon","0","4675.654","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","Sri Langka","Malaysia","0","1191.92","0","0","0","0","0","0","0","0","0","0","0","0","0"
"157","Sri Langka","Saudi Arabia","0","142754.604","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158","Sri Langka","France","0","10594.552","0","0","0","0","0","0","0","0","0","0","0","0","0"
"159","Sri Langka","Japan","0","4670.86","0","0","0","0","0","0","0","0","0","0","0","0","0"
"160","Sri Langka","Singapore","0","2143.952","0","0","0","0","0","0","0","0","0","0","0","0","0"
"161","Myanmar","Australia","0","1141.398","0","0","0","0","0","0","0","0","0","0","0","0","0"
"162","Myanmar","Canada","0","418.761","0","0","0","0","0","0","0","0","0","0","0","0","0"
"163","Myanmar","United Kingdom","0","-477.162","0","0","0","0","0","0","0","0","0","0","0","0","0"
"164","Myanmar","United States","0","3915.036","0","0","0","0","0","0","0","0","0","0","0","0","0"
"165","Myanmar","Malaysia","0","1024.308","0","0","0","0","0","0","0","0","0","0","0","0","0"
"166","Myanmar","France","0","145.053","0","0","0","0","0","0","0","0","0","0","0","0","0"
"167","Myanmar","Japan","0","429.327","0","0","0","0","0","0","0","0","0","0","0","0","0"
"168","Libya","Qatar","0","0","0","0","961.344","0","0","0","0","0","0","0","0","0","0"
"169","Libya","Australia","0","0","0","0","2672.496","0","0","0","0","0","0","0","0","0","0"
"170","Libya","Canada","0","0","0","0","3100.608","0","0","0","0","0","0","0","0","0","0"
"171","Libya","Germany","0","0","0","0","1749.312","0","0","0","0","0","0","0","0","0","0"
"172","Libya","United Kingdom","0","0","0","0","6009.552","0","0","0","0","0","0","0","0","0","0"
"173","Libya","United States","0","0","0","0","52410.816","0","0","0","0","0","0","0","0","0","0"
"174","Libya","Sudan","0","0","0","0","7695.504","0","0","0","0","0","0","0","0","0","0"
"175","Libya","Turkey","0","0","0","0","4257.36","0","0","0","0","0","0","0","0","0","0"
"176","Iran, Islamic Rep.","United Arab Emirates","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109714.8024"
"177","Iran, Islamic Rep.","Qatar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4447.8672"
"178","Iran, Islamic Rep.","Switzerland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4207.728"
"179","Iran, Islamic Rep.","Australia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27185.9448"
"180","Iran, Islamic Rep.","Canada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84864.6288"
"181","Iran, Islamic Rep.","Germany","0","0","0","0","0","0","0","0","0","0","0","0","0","0","147104.1936"
"182","Iran, Islamic Rep.","United Kingdom","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95814.8352"
"183","Iran, Islamic Rep.","United States","0","0","0","0","0","0","0","0","0","0","0","0","0","0","454035.4896"
"184","Iran, Islamic Rep.","Iraq","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-21798.5712"
"185","Iran, Islamic Rep.","Kuwait","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3886.7976"
"186","Iran, Islamic Rep.","Lebanon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2740.7856"
"187","Iran, Islamic Rep.","Russia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12368.4624"
"188","Iran, Islamic Rep.","Saudi Arabia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4511.2536"
"189","Iran, Islamic Rep.","Turkey","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14286.8712"
"190","Iran, Islamic Rep.","France","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25925.2728"
"191","Iran, Islamic Rep.","Japan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6284.3088"
"192","Nepal","Afghanistan","0","6668.844","0","0","0","0","0","0","0","0","0","0","0","0","0"
"193","Nepal","Australia","0","2353.551","0","0","0","0","0","0","0","0","0","0","0","0","0"
"194","Nepal","Canada","0","1016.955","0","0","0","0","0","0","0","0","0","0","0","0","0"
"195","Nepal","United States","0","11547.438","0","0","0","0","0","0","0","0","0","0","0","0","0"
"196","Nepal","Malaysia","0","2483.007","0","0","0","0","0","0","0","0","0","0","0","0","0"
"197","Nepal","Saudi Arabia","0","17210.673","0","0","0","0","0","0","0","0","0","0","0","0","0"
"198","Nepal","Japan","0","2951.355","0","0","0","0","0","0","0","0","0","0","0","0","0"
"199","Nepal","Singapore","0","661.23","0","0","0","0","0","0","0","0","0","0","0","0","0"
