,Mandarin,English,Hindi,Spanish,Arabic,Malay,Russian,Bengali,Portuguese,French,Hausa,Punjabi,Japanese,German,Persian
China,0.66,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,0.01,0.955,0.004,0.133,0.007,0,0.005,0.001,0.004,0.007,0,0.001,0.002,0.005,0
India,0,0.122,0.46,0,0,0,0,0.08,0,0,0,0.03,0,0,0
Pakistan,0,0.57,0,0,0,0,0,0,0,0,0,0.48,0,0,0
Phillipines,0,0.637,0,0.03,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0.977,0,0.06,0,0,0,0,0,0.16,0,0,0,0,0
Germany,0,0.7,0,0.04,0,0,0,0,0,0.14,0,0,0,0.97,0
Canada,0.017,0.856,0.009,0.02,0.012,0.0004,0.005,0.002,0.006,0.29,0,0.014,0.001,0.011,0.006
France,0,0.39,0,0.14,0,0,0,0,0,0.97,0,0,0,0,0
Australia,0,0.97,0,0.02,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0.34,0,0.11,0,0,0,0,0,0.15,0,0,0,0,0
Bangladesh,0,0.18,0,0,0,0,0,0.988,0,0,0,0,0,0,0
Egypt,0,0.35,0,0,0.93,0,0,0,0,0.03,0,0,0,0,0
Thailand,0,0.272,0,0,0,0.03,0,0,0,0,0,0,0,0,0
Netherlands,0,0.9,0,0.05,0,0,0,0,0,0.21,0,0,0,0,0
Nepal,0,0.465,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0.37,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0
Turkey,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,0,0.35,0,0.66,0,0,0,0,0,0,0,0,0,0,0
Sri Langka,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0.22,0,0.988,0,0,0,0,0,0.11,0,0,0,0,0
Brazil,0,0.05,0,0.03,0,0,0,0,1,0,0,0,0,0,0
Sweden,0,0.86,0,0.06,0,0,0,0,0,0.11,0,0,0,0,0
Kenya,0,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0.38,0,0,0,0,0,0,0,0.4,0,0,0,0,0
Malaysia,0.234,0.626,0,0,0,0.413,0,0,0,0,0,0,0,0,0
Russia,0,0.055,0,0,0,0,0.857,0,0,0,0,0,0,0,0
Belgium,0,0.6,0,0.05,0,0,0,0,0,0.72,0,0,0,0,0
Israel,0,0.85,0,0,0.25,0,0,0,0,0,0,0,0,0,0
