"","List_Of_Countries","Mandarin_2020","English_2020","Hindi_2020","Spanish_2020","Arabic_2020","Malay_2020","Russian_2020","Bengali_2020","Portuguese_2020","French_2020","Hausa_2020","Punjabi_2020","Japanese_2020","German_2020","Persian_2020"
"1","China",97.9818630994515,0.875459862218864,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","United States",0.436936169030463,21.2877104779587,0.305957905224801,7.9341156055933,0.842613411659688,0.039633585252737,1.10981507363205,0.196016280162458,0.532626055693862,0.857158207702245,0,0.360555135098495,0.520056740857429,1.72874539763943,0.333819202352881
"3","India",0,11.0637415836188,99.2836110395937,0,0,0,0,39.5089469588804,0,0,0,29.0140715939849,0,0,0
"4","Pakistan",0,7.73138948929062,0,0,0,0,0,0,0,0,0,69.1892540438444,0,0,0
"5","Philippines",0,4.39711915117376,0,0.568620415426951,0,0,0,0,0,0,0,0,0,0,0
"6","United Kingdom",0.00714963764972196,4.44897671478399,0.0491216789050384,0.736665136504168,0.0196515614669899,7.37880984442028e-05,0,0.103452427750637,0,3.92617066173486,0.0472067227768043,0.177778799251371,0,0,0.0703179691471068
"7","Germany",0.00631230934137663,3.84356401460186,0.00366607352346055,0.623801659041562,0.0399269489755708,0.0054912341879945,0,0.00731875667007472,0,4.22479369561481,0.00643234918534882,0.0182693605027304,0,83.9110737672904,0.109178139833726
"8","Canada",0.0945355894717294,2.20949225061936,0.0823570760980324,0.150451653988379,0.187843367277589,0.0119010300962187,0.125916231551511,0.0470548726596707,0.0906451903824358,3.97458825397112,0.00440830566996456,0.410201874645369,0.0295020254083513,0.431503990259261,0.344597785037937
"9","France",0.00183481335244337,1.7161239097862,0.00745470041933905,1.7141794643307,0.16386318927799,0.00954251333885456,0,0.00836273929207063,0,23.4701299393636,0.00145674159374936,0.0205966910880945,0,0,0.0215269281545683
"10","Australia",0.0138596093560718,1.66845997884209,0.0090835584747039,0.0955820360052237,0.0198061146641747,0.0216265714386703,0,0.00729653088519912,0,0.00201143469446605,0.000860214804029714,0.00762790071551396,0,0,0.0195919928996625
"11","Italy",0,1.33326809683175,0,1.16463298074487,0,0,0,0,0,3.22701529650252,0,0,0,0,0
"12","Bangladesh",0,1.99676863841231,0,0,0,0,0,59.6213287474261,0,0,0,0,0,0,0
"13","Egypt, Arab Rep.",0,2.31977107128271,0,0,31.7819586414287,0,0,0,0,1.09198945911508,0,0,0,0,0
"14","Thailand",0,1.25202176814491,0,0,0,0.943222119458151,0,0,0,0,0,0,0,0,0
"15","Netherlands",0,1.02544590339306,0,0.153814783511667,0,0,0,0,0,1.31268564060496,0,0,0,0,0
"16","Nepal",0,0.930837108697782,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","South Africa",0,1.20718081701903,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Poland",0,0.930979384701729,0,0.0679354050886854,0,0,0,0,0,0.414124371405962,0,0,0,0,0
"19","Turkey",0.000102438001667969,0.944973470503893,8.28655775374859e-05,0.000134592718434729,0.0039603413564159,0,0,3.2975550278282e-05,0,0.000108982309381619,0,0.000482342412001786,0,0,0.0119774761046979
"20","Iraq",0,0.963485283835967,0,4.90450963312056,0.00189496139089217,0,0,0,0,8.86418555244745e-05,0,0,0,0,0
"21","Sri Langka",0,0.630482330419041,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Spain",0,0.656958811694328,0,8.0596915431656,0,0,0,0,0,1.77553126159579,0,0,0,0,0
"23","Brazil",0,0.709122472041208,0,1.14876270598105,0,0,0,0,85.9219947934337,0,0,0,0,0,0
"24","Sweden",0,0.577254026562317,0,0.108737063214064,0,0,0,0,0,0.405072163628549,0,0,0,0,0
"25","Kenya",0,0.666898495002769,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Cameroon",0,0.65414394240524,0,0,0,0,0,0,0,3.77764300282924,0,0,0,0,0
"27","Malaysia",0.811416815019904,1.37902801168442,0.00502891375020436,0.0023176264135434,0,6.65490865073926,0,0.0382613797686512,0,0,0,0.00509471169889918,0,0,0
"28","Russia",0.000102906699293687,0.524935527456776,0,0.00417061629103813,0,0,82.53815152593,0,0,0,0,0,0,0,0.00860806052567002
"29","Belgium",0,0.462350940086827,0,0.104027539903212,0,0,0,0,0,3.04385658218158,0,0,0,0,0
"30","Israel",0,0.491167971873354,0,0,0.742161561081351,0,0,0,0,0,0,0,0,0,0
"31","Austria",0,0.425149982625336,0,0.062898041988982,0,0,0,0,0,0.351465892172185,0,0,0,8.11717203555271,0
"32","Romania",0,0.364349147002207,0,0.161639470576512,0,0,0,0,0,0.577646798386741,0,0,0,0,0
"33","Myanmar",0,0.161247993956979,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Madagascar",0,0.330539598942759,0,0,0,0,0,0,0,2.01489389592691,0,0,0,0,0
"35","Zimbabwe",0,0.487756004114986,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Greece",0,0.375499345122908,0,0,0,0,0,0,0,0.282753664853866,0,0,0,0,0
"37","Sierra Leone",0,0.445586666461741,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Mexico",0,0.694137111872009,0,20.0420325589866,0,0,0,0,0,0,0,0,0,0,0
"39","Denmark",0,0.330599548215411,0,0.0415165852105257,0,0,0,0,0,0.168719386018592,0,0,0,0,0
"40","Morocco",0,0.332456126126437,0,0.647532506489254,9.11764755066955,0,0,0,0,3.9832795929624,0,0,0,0,0
"41","Norway",0,0.325259354544175,0,0.0195152945811439,0,0,0,0,0,0,0,0,0,0,0
"42","Republic of Ireland",0,0.318963431530496,0,0.0350077031022629,0,0,0,0,0,0.21340187819099,0,0,0,0,0
"43","Singapore",0.239888777439348,0.345857779900094,0.00647355236814077,0.000512504726212612,0,0.321920283467023,0,0.0116589376508968,0,0,0,0.00654068953987973,0,0,0
"44","Tanzania",0,4.11714224453202,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","New Zealand",0,0.313544163177059,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Finland",0,0.25903463977886,0,0.0299735987049938,0,0,0,0,0,0.203016342530346,0,0,0,0,0
"47","Portugal",0,0.18296270656135,0,0.182960206269445,0,0,0,0,4.06431269501206,0.855062465704864,0,0,0,0,0
"48","Papua New Guinea",0,0.289157666470096,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Hong Kong",0.378349265748766,0.230742804073255,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Liberia",0,0.279910312774746,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Columbia",0,0,0,8.92000798554356,0,0,0,0,0,0,0,0,0,0,0
"52","Argentina",0,0.196173118998628,0,8.09972649206338,0,0,0,0,0,0,0,0,0,0,0
"53","Venezuela",0,0,0,5.8682286080205,0,0,0,0,0,0,0,0,0,0,0
"54","Peru",0,0,0,5.16528469562047,0,0,0,0,0,0,0,0,0,0,0
"55","Chile",0,0.11637724174261,0,3.28436588331063,0,0,0,0,0,0,0,0,0,0,0
"56","Ecuador",0,0,0,3.04496429197772,0,0,0,0,0,0,0,0,0,0,0
"57","Guatemala",0,0,0,2.77078154540056,0,0,0,0,0,0,0,0,0,0,0
"58","Cuba",0,0,0,2.04591312957587,0,0,0,0,0,0,0,0,0,0,0
"59","Dominican Republic",0,0,0,1.98099145128018,0,0,0,0,0,0,0,0,0,0,0
"60","Bolivia",0,0,0,1.81684449691482,0,0,0,0,0,0,0,0,0,0,0
"61","Honduras",0,0,0,1.72282894065569,0,0,0,0,0,0,0,0,0,0,0
"62","Paraguay",0,0,0,1.26522344901797,0,0,0,0,0,0,0,0,0,0,0
"63","El Salvador",0,0,0,1.16007479014267,0,0,0,0,0,0,0,0,0,0,0
"64","Nicaragua",0,0,0,1.148884191124,0,0,0,0,0,0,0,0,0,0,0
"65","Costa Rica",0,0,0,0.895933065471173,0,0,0,0,0,0,0,0,0,0,0
"66","Panama",0,0,0,0.715010563434269,0,0,0,0,0,0,0,0,0,0,0
"67","Uruguay",0,0,0,0.618786717032143,0,0,0,0,0,0.00127132930088477,0,0,0,0,0
"68","Puerto Rico",0,0.117656844377929,0,0.64579652050171,0,0,0,0,0,0,0,0,0,0,0
"69","Switzerland",0.000503188256881202,0.356851274837102,0.00049748189396678,0.0583513337650003,0.00290433027725755,0.000406378100179352,0,0.000579701106476702,0,0.00760758296135786,0.000528556831371037,0.000948956541945112,0,5.8115048092582,0.00343585807940572
"70","Belarus",0,0,0,0,0,0,4.42653664808936,0,0,0,0,0,0,0,0
"71","Indonesia",0,0,0,0,0,91.7949905690573,0,0,0,0,0,0,0,0,0
"72","Ukraine",0,0,0,0,0,0,8.63889223815146,0,0,0.0158549995876238,0,0,0,0,0
"73","Uzbekistan",0,0,0,0,0,0,3.16068828264557,0,0,0,0,0,0,0,0
"74","Angola",0,0,0,0,0,0,0,0,9.39042126547789,0,0,0,0,0,0
"75","Japan",0.0265100064082396,0.00756619333246071,0.00069279141651989,0.00151996345190554,0.000419881942945412,0.00745191849444418,0,0.00364565655203978,0,0.000141932040082522,0.000567449521978764,0.00321918570887137,99.4504412337342,0,0.00441584812932454
"76","Afghanistan",0,0.00143365035536955,0,0,0.0102372996928425,0.0017349017845227,0,0.0231694942207907,0,0,0,0.00277048293979311,0,0,38.1384582308199
"77","Iran, Islamic Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.8352171175492
"78","Nigeria",0,7.27810151996646,0,0,0,0,0,0,0,0,75.9236341673683,0,0,0,0
"79","Niger ",0,0,0,0,0,0,0,0,0,1.13865127958622,9.36315767464962,0,0,0,0
"80","Ghana",0,1.35943052442544,0,0,0,0,0,0,0,0.0894524758011795,14.6351503803321,0,0,0,0
"81","Tunisia",0,0,0,0,3.97420659518565,0,0,0,0,2.3385248222002,0,0,0,0,0
"82","Syrian Arab Republic",0,0,0,0,5.73216203807749,0,0,0,0,0,0,0,0,0,0
"83","Sudan",0,9.27619977335527e-05,0.000508831564959122,0.000100045745722784,10.2856528307248,0,0,0.000202484570217303,0,0.000767892517137709,0.0100378565850461,0.00014869801068291,0,0,0
"84","Libya",0,0,0,0,1.61595078624926,0,0,0,0,0,0,0,0,0,0
"85","United Arab Emirates",0,0.0448413958248119,0.0761323671944822,0.000129077919618493,1.73497640400586,0.0028674082233354,0,0.0609882214162593,0,0.038200778872203,0,0.292168394725988,0,0,0.0796297898153599
"86","Bahrain",0,0,0,0,0.294993097248019,0,0,0,0,0,0,0,0,0,0
"87","Saudi Arabia",0,0.127451313626928,0.116563803478659,0.00362457056429799,7.91150021748459,0.160425592030362,0,0.254464589230244,0,0.0199189391717716,0.00655958068175815,0.379476969250006,0,0,0.00331343298447449
"88","Oman",0,0.0122595314922612,0.0313269378828139,9.08393741973094e-05,1.16393437574254,0,0,0.0629675593095533,0,0.000585457113547135,0,0.0434212857437816,0,0,0
"89","Kuwait",0,0.0129029817046319,0.0122583080578365,0.000227823049160931,1.09122934096261,0.0111047690916424,0,0.0229767275670481,0,0.00218819232165799,0,0.0388575468552424,0,0,0.00973522587021736
"90","Mauritania",0,0,0,0,1.45051799165355,0,0,0,0,0,0,0,0,0,0
"91","Lebanon",0,0.163243961579736,0.00342820634004542,0.000207160369033683,1.49526369607097,0.0036581502948765,0,0.00727208214880936,0,0.833483710862676,0,0.0102081270729793,0,0,0.00214383872616036
"92","Jordan",0.000635374772557983,0.309344891767243,0.000276458949076506,2.49290736219185e-05,2.40438520334895,0.00351743652703309,0,0.00266860350803212,0,0.00171753063496635,0,0.00199178547257461,0,0,0
