"","Origin","Destination","Intercept","Slope","p-value","R^2","2020","2030","2040","2050","2060","2070"
"1","Syrian Arab Republic","United Arab Emirates","-5330","1086.19","0.00725333276472987","0.934536783402912",59841.4,70703.3,81565.2,92427.1,103289,114150.9
"2","Syrian Arab Republic","Qatar","-70.6000000000017","245.38","0.0374519329861037","0.809786472642161",14652.2,17106,19559.8,22013.6,24467.4,26921.2
"3","Syrian Arab Republic","Oman","-120.2","41.24","0.014355243072235","0.897619868949446",2354.2,2766.6,3179,3591.4,4003.8,4416.2
"4","Syrian Arab Republic","Switzerland","76.9999999999998","16.88","0.18635229098771","0.492729784262634",1089.8,1258.6,1427.4,1596.2,1765,1933.8
"5","Syrian Arab Republic","Australia","-394.000000000001","175.07","0.00347061110768763","0.959741368162761",10110.2,11860.9,13611.6,15362.3,17113,18863.7
"6","Syrian Arab Republic","Canada","-1329","357.54","0.0181240987330153","0.880843340699614",20123.4,23698.8,27274.2,30849.6,34425,38000.4
"7","Syrian Arab Republic","Germany","-1159.2","549.16","0.0456927357161531","0.784139150894337",31790.4,37282,42773.6,48265.2,53756.8,59248.4
"8","Syrian Arab Republic","United Kingdom","246.999999999999","126.48","0.141850261287259","0.566871259976985",7835.8,9100.6,10365.4,11630.2,12895,14159.8
"9","Syrian Arab Republic","United States","11939.4","975.94","0.0152236350027173","0.893624118588318",70495.8,80255.2,90014.6,99774,109533.4,119292.8
"10","Syrian Arab Republic","Iraq","5797.8","-81.38","0.154664650263716","0.5443652403195",915.000000000001,101.200000000001,-712.599999999999,-1526.4,-2340.2,-3154
"11","Syrian Arab Republic","Jordan","-3750.20000000001","862.27","0.0149041653728624","0.895084205302809",47986,56608.7,65231.4,73854.1,82476.8,91099.5
"12","Syrian Arab Republic","Kuwait","9006.79999999998","2741.86","0.0120146135718193","0.908854132375801",173518.4,200937,228355.6,255774.2,283192.8,310611.4
"13","Syrian Arab Republic","Lebanon","-796.000000000002","162.6","0.072426370246624","0.71179765174372",8960,10586,12212,13838,15464,17090
"14","Syrian Arab Republic","Saudi Arabia","-9873.80000000002","2979.15","0.00980376437458798","0.920215958028216",168875.2,198666.7,228458.2,258249.7,288041.2,317832.7
"15","Syrian Arab Republic","Turkey","5462.2","-13.65","0.632106348486592","0.0859661100967853",4643.2,4506.7,4370.2,4233.7,4097.2,3960.7
"16","Syrian Arab Republic","France","2909.2","171.21","0.345720465940913","0.293402716692939",13181.8,14893.9,16606,18318.1,20030.2,21742.3
"17","India","United Arab Emirates","-94040","19164.37","0.00725264853303478","0.934540844373102",1055822.2,1247465.9,1439109.6,1630753.3,1822397,2014040.7
"18","India","Qatar","-6476.2","1373.98","0.00577964339767025","0.943627362540264",75962.6,89702.4,103442.2,117182,130921.8,144661.6
"19","India","Oman","-22116.8","7609.44","0.0143732341165026","0.897536209342952",434449.6,510544,586638.4,662732.8,738827.2,814921.6
"20","India","Switzerland","-594.200000000001","124.89","0.125925988520367","0.596360617477288",6899.2,8148.1,9397,10645.9,11894.8,13143.7
"21","India","Afghanistan","23418.6","-529.98","0.104776069727042","0.63856123827065",-8380.2,-13680,-18979.8,-24279.6,-29579.4,-34879.2
"22","India","Australia","4594.19999999998","2022.98","0.00623270221654829","0.940754233799447",125973,146202.8,166432.6,186662.4,206892.2,227122
"23","India","Canada","-22357.0000000001","7146.5","0.017069987227553","0.885394781499351",406433,477898,549363,620828,692293,763758
"24","India","Germany","3887.79999999999","782.57","0.0403538104540982","0.8005204067419",50842,58667.7,66493.4,74319.1,82144.8,89970.5
"25","India","United Kingdom","224351.8","7614.66","0.00605740337141074","0.941856958961259",681231.4,757378,833524.6,909671.2,985817.8,1061964.4
"26","India","United States","-126382.4","24791.13","0.0197430844205171","0.874038648757748",1361085.4,1608996.7,1856908,2104819.3,2352730.6,2600641.9
"27","India","Iraq","1230","-28.55","0.00274032785313237","0.965566769726477",-483,-768.5,-1054,-1339.5,-1625,-1910.5
"28","India","Jordan","-608.4","74.04","0.107615840734575","0.63266982915316",3834,4574.4,5314.8,6055.2,6795.6,7536
"29","India","Kuwait","2838.79999999998","2786.04","0.00986254599401147","0.919902712038812",170001.2,197861.6,225722,253582.4,281442.8,309303.2
"30","India","Lebanon","-6640.40000000001","903.060000000001","0.0371113178638479","0.810892405679795",47543.2000000001,56573.8000000001,65604.4000000001,74635.0000000001,83665.6000000001,92696.2000000001
"31","India","Malaysia","73811.4","-67.8199999999996","0.97510716795192","0.000382281891783333",69742.2,69064,68385.8,67707.6,67029.4,66351.2
"32","India","Saudi Arabia","-94513.6000000004","28517.48","0.00980391636696059","0.920215147202834",1616535.2,1901710,2186884.8,2472059.6,2757234.4,3042409.2
"33","India","Sudan","1188","97.81","0.0236256498117786","0.858514734444166",7056.6,8034.7,9012.8,9990.9,10969,11947.1
"34","India","Turkey","447.2","11.7","0.354019121555849","0.285087244319081",1149.2,1266.2,1383.2,1500.2,1617.2,1734.2
"35","India","France","27577.8","1263.43","0.545755194991187","0.133254610862101",103383.6,116017.9,128652.2,141286.5,153920.8,166555.1
"36","India","Japan","-828.6","173.94","0.0236566355032001","0.858394869491715",9607.8,11347.2,13086.6,14826,16565.4,18304.8
"37","India","Singapore","47671.8","701.75","0.476252611265261","0.180170586124285",89776.8,96794.3,103811.8,110829.3,117846.8,124864.3
"38","Bangladesh","United Arab Emirates","-7714.00000000002","1572.05","0.00725207769959629","0.934544232418647",86609,102329.5,118050,133770.5,149491,165211.5
"39","Bangladesh","Qatar","-3501","488.9","0.029944590501183","0.835171849097774",25833,30722,35611,40500,45389,50278
"40","Bangladesh","Oman","-7254.40000000001","2496.04","0.0143734054493431","0.897535412816264",142508,167468.4,192428.8,217389.2,242349.6,267310
"41","Bangladesh","Switzerland","-53.2000000000002","18.84","0.141744792515245","0.56706082635502",1077.2,1265.6,1454,1642.4,1830.8,2019.2
"42","Bangladesh","Afghanistan","-2478.8","1142.31","0.0128073515217596","0.904967369403345",66059.8,77482.9,88906,100329.1,111752.2,123175.3
"43","Bangladesh","Australia","-1596","199.76","0.075756066968231","0.703658798993002",10389.6,12387.2,14384.8,16382.4,18380,20377.6
"44","Bangladesh","Canada","-1871","427.07","0.128291107750175","0.591865882205427",23753.2,28023.9,32294.6,36565.3,40836,45106.7
"45","Bangladesh","Germany","-2558","318.23","0.0778670960389893","0.698580003777604",16535.8,19718.1,22900.4,26082.7,29265,32447.3
"46","Bangladesh","United Kingdom","-21589","4305.96","0.00789748753821858","0.930771250710768",236768.6,279828.2,322887.8,365947.4,409007,452066.6
"47","Bangladesh","United States","-16943.2","2073.48","0.0775490393762718","0.699341274418032",107465.6,128200.4,148935.2,169670,190404.8,211139.6
"48","Bangladesh","Jordan","-1346.2","142.77","0.139856464888062","0.570467301256561",7220,8647.7,10075.4,11503.1,12930.8,14358.5
"49","Bangladesh","Kuwait","-5791.2","947.72","0.0614560538268006","0.739834062646646",51072,60549.2,70026.4,79503.6,88980.8,98458
"50","Bangladesh","Lebanon","-2531.2","320.04","0.0451754717785423","0.785691318754187",16671.2,19871.6,23072,26272.4,29472.8,32673.2
"51","Bangladesh","Malaysia","-10999.4","1888.68","0.0215023844380896","0.866874989491324",102321.4,121208.2,140095,158981.8,177868.6,196755.4
"52","Bangladesh","Saudi Arabia","-34329.8000000001","10358.36","0.00980392901533211","0.920215079728461",587171.8,690755.4,794339,897922.6,1001506.2,1105089.8
