"","List_Of_Countries","Mandarin_2070","English_2070","Hindi_2070","Spanish_2070","Arabic_2070","Malay_2070","Russian_2070","Bengali_2070","Portuguese_2070","French_2070","Hausa_2070","Punjabi_2070","Japanese_2070","German_2070","Persian_2070"
"1","China",95.4270273367493,0.402076145386023,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","United States",1.41137939446026,18.7980239694688,0.929996924613539,9.17796026639984,0.839287388917631,0.287290706686059,1.59174583594453,0.699818285818664,0.535668226551435,0.662490655324265,0,0.933958278367518,0.855312997033102,2.30761188097132,1.23135227526497
"3","India",0,8.58765869148027,96.5113905050873,0,0,0,0,38.9871816983316,0,0,0,22.3904762052196,0,0,0
"4","Pakistan",0,7.962211649125,0,0,0,0,0,0,0,0,0,70.3636111662438,0,0,0
"5","Philippines",0,3.65860820230905,0,0.642490897395816,0,0,0,0,0,0,0,0,0,0,0
"6","United Kingdom",0.0716080103285172,3.67514118153316,0.313166750998358,0.838670008570913,0.0877088038112373,0,0,0.74389179241261,0,2.59647587401485,0.137572559586276,0.961921033427731,0,0,0.259728857485131
"7","Germany",0.0658917292118704,2.40217731401666,0.0252970969325169,0.671817742171082,0.196802363089672,0.0378368886657395,0,0.0541212989342823,0,2.24983746133159,0.0194741495009378,0.102921185540817,0,81.3992983863616,0.399932052257526
"8","Canada",0.376632665688945,2.07843112565877,0.2667453335563,0.251854671812158,0.28480642585794,0.0441182132530895,0.183188020703585,0.175815024044501,0.0924720517181644,2.90393096366716,0.0117420329328644,0.543916598995669,0.0492173723563004,0.584263552420738,0.49706781419633
"9","France",0.0171101256048593,1.32147404119321,0.0484947391725705,1.93463425615394,0.708970294739162,0.0624764469533067,0,0.0549931586986989,0,14.9136663220066,0.00264543200543006,0.106387445190468,0,0,0.0726787055562642
"10","Australia",0.139924746472947,1.7217150732849,0.063433846010738,0.15126882350275,0.0898352518536121,0.153562215174326,0,0.0532007977405712,0,0.00875026971832335,0.00256251179924727,0.0429673705394602,0,0,0.073348492332493
"11","Italy",0,0.762825375628919,0,0.885761051585638,0,0,0,0,0,1.55542837129427,0,0,0,0,0
