HDI Rank (2015),Country,1990,1995,2000,2005,2010,2015
169, Afghanistan,12.1,16.8,19.7,24.4,28,32.5
75, Albania,3.3,3.1,3.1,3.1,2.9,2.9
83, Algeria,25.9,28.9,31.2,33.3,36,39.7
32, Andorra,0.1,0.1,0.1,0.1,0.1,0.1
150, Angola,11.1,13,15.1,17.9,21.2,25
62, Antigua and Barbuda,0.1,0.1,0.1,0.1,0.1,0.1
45, Argentina,32.7,35,37.1,39.1,41.2,43.4
84, Armenia,3.5,3.2,3.1,3,3,3
2, Australia,17.1,18.1,19.1,20.3,22.2,24
24, Austria,7.7,8,8.1,8.2,8.4,8.5
78, Azerbaijan,7.2,7.8,8.1,8.6,9.1,9.8
58, Bahamas,0.3,0.3,0.3,0.3,0.4,0.4
47, Bahrain,0.5,0.6,0.7,0.9,1.3,1.4
139, Bangladesh,106,118.4,131.3,142.9,151.6,161
54, Barbados,0.3,0.3,0.3,0.3,0.3,0.3
52, Belarus,10.2,10.2,10,9.6,9.5,9.5
22, Belgium,10,10.2,10.3,10.6,10.9,11.3
103, Belize,0.2,0.2,0.2,0.3,0.3,0.4
167, Benin,5,6,6.9,8.2,9.5,10.9
132, Bhutan,0.5,0.5,0.6,0.7,0.7,0.8
118, Bolivia (Plurinational State of),6.9,7.6,8.3,9.1,9.9,10.7
81, Bosnia and Herzegovina,4.5,3.9,3.8,3.8,3.8,3.8
108, Botswana,1.4,1.6,1.7,1.9,2,2.3
79, Brazil,150.4,162.8,175.8,188.5,198.6,207.8
30, Brunei Darussalam,0.3,0.3,0.3,0.4,0.4,0.4
56, Bulgaria,8.8,8.4,8,7.7,7.4,7.2
185, Burkina Faso,8.8,10.1,11.6,13.4,15.6,18.1
184, Burundi,5.6,6.2,6.8,7.9,9.5,11.2
122, Cabo Verde,0.3,0.4,0.4,0.5,0.5,0.5
143, Cambodia,9,10.7,12.2,13.3,14.4,15.6
153, Cameroon,12.1,13.9,15.9,18.1,20.6,23.3
10, Canada,27.7,29.3,30.7,32.3,34.1,35.9
188, Central African Republic,2.9,3.3,3.7,4.1,4.4,4.9
186, Chad,6,7,8.3,10.1,11.9,14
38, Chile,13.1,14.2,15.2,16.1,17,17.9
90, China,1154.6,1227.8,1270,1305.6,1341,1376
95, Colombia,34.3,37.4,40.4,43.3,45.9,48.2
160, Comoros,0.4,0.5,0.5,0.6,0.7,0.8
135, Congo,2.4,2.7,3.1,3.5,4.1,4.6
176, Congo (Democratic Republic of the),35,42.2,48,56.1,65.9,77.3
66, Costa Rica,3.1,3.5,3.9,4.2,4.5,4.8
45, Croatia,4.8,4.6,4.4,4.4,4.3,4.2
68, Cuba,10.6,10.9,11.1,11.3,11.3,11.4
33, Cyprus,0.8,0.9,0.9,1,1.1,1.2
28, Czech Republic,10.3,10.3,10.3,10.2,10.5,10.5
171, Côte d'Ivoire,12.2,14.4,16.5,18.1,20.1,22.7
5, Denmark,5.1,5.2,5.3,5.4,5.6,5.7
172, Djibouti,0.6,0.7,0.7,0.8,0.8,0.9
96, Dominica,0.1,0.1,0.1,0.1,0.1,0.1
99, Dominican Republic,7.2,7.9,8.6,9.2,9.9,10.5
89, Ecuador,10.2,11.4,12.6,13.7,14.9,16.1
111, Egypt,56.4,62.4,68.3,74.9,82,91.5
117, El Salvador,5.3,5.6,5.8,5.9,6,6.1
135, Equatorial Guinea,0.4,0.4,0.5,0.6,0.7,0.8
179, Eritrea,3.1,3.2,3.5,4.2,4.7,5.2
30, Estonia,1.6,1.4,1.4,1.4,1.3,1.3
174, Ethiopia,48.1,57.2,66.4,76.6,87.6,99.4
91, Fiji,0.7,0.8,0.8,0.8,0.9,0.9
23, Finland,5,5.1,5.2,5.2,5.4,5.5
21, France,56.9,58.2,59.4,61.2,63,64.4
109, Gabon,1,1.1,1.2,1.4,1.5,1.7
173, Gambia,0.9,1.1,1.2,1.4,1.7,2
70, Georgia,5.5,5.1,4.7,4.5,4.3,4
4, Germany,79,81.6,81.9,81.2,80.4,80.7
139, Ghana,14.6,16.8,18.8,21.4,24.3,27.4
29, Greece,10.1,10.6,11,11.1,11.2,11
79, Grenada,0.1,0.1,0.1,0.1,0.1,0.1
125, Guatemala,9.2,10.4,11.7,13.2,14.7,16.3
183, Guinea,6,7.9,8.8,9.7,11,12.6
178, Guinea-Bissau,1.1,1.2,1.3,1.5,1.6,1.8
127, Guyana,0.7,0.7,0.7,0.7,0.8,0.8
163, Haiti,7.1,7.8,8.5,9.3,10,10.7
130, Honduras,4.9,5.6,6.2,6.9,7.5,8.1
12," Hong Kong, China (SAR)",5.8,6.1,6.8,6.8,7,7.3
43, Hungary,10.4,10.4,10.2,10.1,10,9.9
9, Iceland,0.3,0.3,0.3,0.3,0.3,0.3
131, India,870.6,960.9,1053.5,1144.3,1231,1311.1
113, Indonesia,181.4,197,211.5,226.3,241.6,257.6
69, Iran (Islamic Republic of),56.2,60.3,65.8,70.1,74.3,79.1
121, Iraq,17.5,20.2,23.6,27,30.9,36.4
8, Ireland,3.6,3.6,3.8,4.2,4.6,4.7
19, Israel,4.5,5.3,6,6.6,7.4,8.1
26, Italy,57,57.1,57.1,58.7,59.6,59.8
94, Jamaica,2.4,2.5,2.6,2.7,2.7,2.8
17, Japan,122.2,124.5,125.7,127,127.3,126.6
86, Jordan,3.4,4.3,4.8,5.3,6.5,7.6
56, Kazakhstan,16.5,15.9,15,15.5,16.3,17.6
146, Kenya,23.4,27.4,31.1,35.3,40.3,46
137, Kiribati,0.1,0.1,0.1,0.1,0.1,0.1
0, Korea (Democratic People's Rep. of),20.2,21.8,22.8,23.8,24.5,25.2
18, Korea (Republic of),43,44.7,46.2,47.6,49.1,50.3
51, Kuwait,2.1,1.6,1.9,2.3,3.1,3.9
120, Kyrgyzstan,4.4,4.6,5,5.1,5.5,5.9
138, Lao People's Democratic Republic,4.2,4.9,5.3,5.7,6.3,6.8
44, Latvia,2.7,2.5,2.4,2.2,2.1,2
76, Lebanon,2.7,3,3.2,4,4.3,5.9
160, Lesotho,1.6,1.8,1.9,1.9,2,2.1
177, Liberia,2.1,2.1,2.9,3.3,4,4.5
102, Libya,4.4,4.9,5.3,5.8,6.3,6.3
15, Liechtenstein,0,0,0,0,0,0
37, Lithuania,3.7,3.6,3.5,3.3,3.1,2.9
20, Luxembourg,0.4,0.4,0.4,0.5,0.5,0.6
158, Madagascar,11.5,13.5,15.7,18.3,21.1,24.2
170, Malawi,9.4,9.8,11.2,12.7,14.8,17.2
59, Malaysia,18.2,20.7,23.4,25.8,28.1,30.3
105, Maldives,0.2,0.3,0.3,0.3,0.3,0.4
175, Mali,8.5,9.6,11,12.9,15.2,17.6
33, Malta,0.4,0.4,0.4,0.4,0.4,0.4
0, Marshall Islands,0,0.1,0.1,0.1,0.1,0.1
157, Mauritania,2,2.3,2.7,3.2,3.6,4.1
64, Mauritius,1.1,1.1,1.2,1.2,1.2,1.3
77, Mexico,85.6,94.4,102.8,109.7,118.6,127
127, Micronesia (Federated States of),0.1,0.1,0.1,0.1,0.1,0.1
107, Moldova (Republic of),4.4,4.3,4.2,4.2,4.1,4.1
0, Monaco,0,0,0,0,0,0
92, Mongolia,2.2,2.3,2.4,2.5,2.7,3
48, Montenegro,0.6,0.6,0.6,0.6,0.6,0.6
123, Morocco,24.9,27.2,29,30.4,32.1,34.4
181, Mozambique,13.4,15.9,18.3,21.1,24.3,28
145, Myanmar,42,44.7,47.7,50,51.7,53.9
125, Namibia,1.4,1.7,1.9,2,2.2,2.5
0, Nauru,0,0,0,0,0,0
