Burundi,11939.23,15798.85,20377.08,25762.04,31498.17,37482.27
Comoros,869.60,1061.78,1261.94,1462.74,1651.81,1822.18
Djibouti,999.90,1132.71,1236.85,1307.62,1345.96,1351.30
Eritrea,5432.22,6717.69,8152.54,9606.66,10972.59,12223.20
Ethiopia,112759.07,139620.18,166139.39,190869.63,212278.59,229096.85
Kenya,53491.70,66959.99,81286.87,95467.14,108838.58,120634.47
Madagascar,27690.80,35591.94,44367.66,53802.57,63594.68,73274.38
Malawi,20283.69,26578.25,33836.71,41705.00,49799.24,57643.15
Mauritius,1274.11,1286.93,1269.20,1221.03,1165.67,1109.34
Mayotte,273.11,343.81,420.33,495.50,564.53,625.95
Mozambique,32309.20,42438.70,54443.11,67774.94,82012.25,96544.45
Réunion,896.54,956.97,998.68,1013.56,1009.08,998.60
Rwanda,13087.17,16024.25,19065.66,21886.08,24254.20,26122.28
Seychelles,96.11,98.01,98.19,96.64,93.08,89.30
Somalia,16105.17,21535.02,28145.90,35851.79,44409.57,53406.18
South Sudan,13610.01,17254.37,21189.21,25366.22,29590.04,33613.67
Uganda,47187.70,63842.36,83604.96,105698.20,129232.61,152984.65
Tanzania,62774.62,83702.05,109059.52,138081.62,170043.23,204040.06
Zambia,18679.27,24859.38,32326.62,41000.82,50751.29,61285.79
Zimbabwe,17680.47,21526.86,25625.98,29658.75,33226.22,36164.17
Middle Africa,178959.27,237770.54,307220.86,384004.51,464653.12,545863.85
Angola,32827.40,44712.28,59249.00,76046.05,94596.08,114365.29
Cameroon,25958.18,32979.64,41020.84,49817.39,58964.82,68103.57
Central African Republic,4920.89,6123.62,7481.45,8850.78,10218.60,11497.74
Chad,16285.09,21459.96,27321.15,33635.80,40132.05,46506.38
Congo-Brazzaville,5686.92,7318.89,9308.63,11509.65,13885.68,16404.44
Congo-Kinshasa,89505.20,120442.94,157114.00,197404.20,239148.83,280414.21
Equatorial Guinea,1406.28,1871.22,2348.71,2844.74,3335.95,3788.09
Gabon,2151.29,2593.51,3053.26,3516.14,3936.75,4297.79
Sao Tome and Principe,218.01,268.47,323.81,379.75,434.35,486.34
Northern Africa,246049.31,285204.35,323510.55,359904.88,390953.31,416747.07
Algeria,43333.26,48821.96,53249.00,57436.70,60316.23,61689.92
"Egypt, Arab Rep.",102941.48,119745.68,137065.51,153433.49,167005.25,178407.03
Libya,6662.17,7342.35,7825.25,8123.67,8163.08,8030.64
Morocco,37070.72,40873.59,43713.71,45659.89,46709.79,46842.86
Sudan,43541.20,54842.48,67357.46,80385.61,93616.44,106641.64
