"","YEAR","ARABIC","CHINESE","FRENCH","GERMAN","ITALIAN","JAPANESE","RUSSIAN","SPANISH"
"1",1958,364,615,157900,107870,9577,844,16042,126303
"2",1959,455,959,195785,130919,10354,1271,26675,155344
"3",1960,515,679,229640,146950,11084,1754,31122,179892
"4",1961,693,2200,243837,153935,12265,1976,32703,183257
"5",1963,835,2444,302140,183050,16871,2718,33663,246039
"6",1965,911,3359,371747,213909,22950,3505,33818,310012
"7",1968,918,5061,386694,215883,30732,4322,41280,363389
"8",1969,126,685,45323,25686,2233,568,3499,57209
"9",1970,1324,6115,358494,201766,34236,6620,36369,386617
"10",1971,180,953,41665,25475,2469,760,3445,57232
"11",1972,0,0,295224,176559,33114,0,37374,361528
"12",1974,2034,10576,253135,152113,33048,9604,32522,361911
"13",1977,3078,9798,246244,135474,33294,10721,27960,377172
"14",1980,3471,11366,248303,127015,34793,11516,23987,378952
"15",1983,3441,13178,269985,128087,38672,16127,30167,386213
"16",1986,3417,16891,275132,120920,40904,23454,33945,411376
"17",1990,3683,19427,273116,133594,49824,45830,44476,534143
"18",1995,4444,26471,205351,96263,43760,44723,24729,606286
"19",1998,5505,28456,199064,89013,49287,43141,23791,649245
"20",2002,10584,34153,201985,91100,63899,52238,23921,745215
"21",2006,23987,51381,206014,94147,78176,65403,24770,822094
"22",2009,34908,59876,215244,95628,80322,72359,26753,861008
"23",2013,32719,61508,197914,87121,73365,66883,22132,791025
